step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec,vce_m,vce_pose_m,fine_epe_px,fine_epe_in_px
94,train,5.8284,0.0012,12.75,5.6501,11.74,8410,75.5,8.407,8.377,nan,nan
95,train,6.1748,0.0003,16.76,5.9330,13.85,7360,76.3,13.995,13.964,nan,nan
96,train,6.7785,0.0000,17.91,6.7190,19.57,9847,77.0,16.347,16.341,nan,nan
97,train,7.1432,0.0001,22.82,6.8255,17.04,9061,77.8,19.344,19.275,nan,nan
98,train,5.6899,0.0056,10.56,5.4991,6.24,9119,78.5,8.982,8.913,nan,nan
99,train,5.9592,0.0056,14.86,5.6218,16.00,7824,79.3,11.442,11.425,nan,nan
100,train,6.5798,0.0000,18.43,6.6710,20.72,8551,80.0,15.995,15.990,nan,nan
101,train,6.5709,0.0000,15.73,6.4413,14.83,8441,80.8,16.038,16.023,nan,nan
102,train,6.5921,0.0007,20.75,6.4405,22.65,8011,81.5,18.138,18.119,nan,nan
103,train,6.2373,0.0000,13.91,6.1182,14.22,9017,82.3,13.036,13.011,nan,nan
104,train,6.7972,0.0000,19.75,6.5825,18.36,9040,83.0,18.214,18.213,nan,nan
105,train,6.6570,0.0002,19.17,6.6726,17.12,9553,83.7,17.161,17.093,nan,nan
106,train,6.0671,0.0025,15.42,5.8625,15.30,8253,84.5,12.119,11.986,nan,nan
107,train,6.6893,0.0057,17.63,6.4390,15.00,8813,85.2,14.496,14.270,nan,nan
108,train,5.9211,0.0005,13.81,5.6634,11.81,8286,86.0,10.628,10.614,nan,nan
109,train,5.7014,0.0024,10.00,5.5571,6.77,8443,86.7,8.255,8.186,nan,nan
110,train,5.8773,0.0030,9.88,5.6749,8.49,10843,87.5,8.229,8.216,nan,nan
111,train,5.6823,0.0024,11.07,5.4443,11.40,10254,88.2,9.269,9.267,nan,nan
112,train,7.2337,0.0106,19.35,6.7751,17.24,10345,89.0,16.464,16.435,nan,nan
113,train,5.8059,0.0078,12.07,5.4669,12.72,10115,89.7,8.050,7.933,nan,nan
