step,split,ce,cert,top1,top5,cell_err_m,n,sec
131,train,4.9546,0.4738,0.0000,0.0062,19.90,161,0.8
132,train,4.9829,0.6627,0.0071,0.0143,32.35,140,0.7
133,train,4.9721,0.6738,0.0064,0.0255,29.55,157,0.8
134,train,5.1008,0.5587,0.0000,0.0000,47.46,162,0.8
135,train,5.2455,0.5118,0.0000,0.0000,46.20,163,0.8
136,train,4.9063,0.6216,0.0000,0.0197,25.41,152,0.6
137,train,4.9714,0.4335,0.0063,0.0314,28.07,159,0.8
138,train,4.9646,0.4615,0.0063,0.0253,25.53,158,0.6
139,train,4.8694,0.4622,0.0064,0.0510,20.69,157,0.7
140,train,4.9247,0.4651,0.0063,0.0570,20.04,158,0.8
141,train,4.8801,0.4595,0.0125,0.0375,20.69,160,0.7
142,train,4.9873,0.4505,0.0063,0.0250,20.29,160,0.7
143,train,5.0216,0.4743,0.0064,0.0256,28.29,156,0.6
144,train,4.9763,0.5077,0.0000,0.0272,19.74,147,0.8
145,train,4.8678,0.4950,0.0000,0.0196,21.38,153,0.8
146,train,4.9471,0.5012,0.0063,0.0437,20.39,160,0.8
147,train,4.8499,0.5161,0.0132,0.0526,22.31,152,0.7
148,train,4.9493,0.5357,0.0064,0.0318,29.04,157,0.8
149,train,4.8860,0.5504,0.0136,0.0408,22.40,147,0.8
150,train,4.9747,0.5396,0.0066,0.0329,24.94,152,0.7
151,train,4.8671,0.5167,0.0061,0.0491,24.92,163,0.6
152,train,4.8506,0.4383,0.0062,0.0370,19.20,162,0.8
153,train,4.9801,0.4448,0.0000,0.0000,37.39,160,0.8
154,train,4.9249,0.4980,0.0066,0.0197,24.89,152,0.8
155,train,4.8772,0.4662,0.0000,0.0252,24.73,159,0.8
156,train,5.0925,0.4495,0.0063,0.0250,26.54,160,0.6
157,train,4.9038,0.5542,0.0267,0.0800,20.78,150,0.8
158,train,4.9030,0.5160,0.0063,0.0629,18.12,159,0.7
159,train,4.8652,0.4469,0.0124,0.0497,21.17,161,0.8
160,train,4.9297,0.4339,0.0000,0.0185,29.62,162,0.8
161,train,4.8575,0.4329,0.0000,0.0184,19.49,163,0.8
162,train,4.8698,0.4765,0.0063,0.0253,22.52,158,0.8
163,train,4.9065,0.4932,0.0067,0.0336,20.49,149,0.6
164,train,4.8893,0.4691,0.0061,0.0184,20.68,163,0.6
165,train,4.8328,0.4718,0.0123,0.0491,17.58,163,0.8
166,train,5.0379,0.4674,0.0061,0.0245,30.37,163,0.8
167,train,4.9825,0.4874,0.0000,0.0192,25.09,156,0.6
168,train,5.0089,0.4613,0.0000,0.0316,27.69,158,0.8
169,train,4.9356,0.4924,0.0132,0.0530,21.36,151,0.6
170,train,5.0314,0.5348,0.0000,0.0272,26.01,147,0.8
171,train,4.8671,0.4640,0.0130,0.0519,22.57,154,0.6
172,train,5.0729,0.4532,0.0000,0.0000,28.74,158,0.8
173,train,4.8670,0.4287,0.0000,0.0368,19.51,163,0.7
174,train,4.9615,0.4570,0.0000,0.0125,27.08,160,0.8
175,train,5.0636,0.4617,0.0000,0.0063,35.48,158,0.8
176,train,4.9292,0.5431,0.0000,0.0000,30.43,149,0.7
177,train,4.9275,0.5005,0.0066,0.0329,26.95,152,0.8
178,train,4.9639,0.4627,0.0000,0.0000,28.56,158,0.6
179,train,4.9482,0.4768,0.0064,0.0128,27.88,156,0.8
180,train,4.8956,0.5732,0.0069,0.0208,21.87,144,0.7
181,train,4.9063,0.4892,0.0064,0.0256,25.00,156,0.8
182,train,4.9417,0.5085,0.0000,0.0000,31.89,154,0.8
183,train,4.9213,0.4700,0.0062,0.0123,19.96,162,0.6
184,train,4.8779,0.5961,0.0133,0.0400,19.02,150,0.7
185,train,4.8826,0.4606,0.0062,0.0309,18.62,162,0.8
186,train,4.9806,0.4876,0.0000,0.0000,32.60,162,0.8
187,train,4.8511,0.4970,0.0188,0.0688,18.99,160,0.8
188,train,5.0205,0.4882,0.0123,0.0309,25.59,162,0.8
189,train,4.9453,0.4579,0.0063,0.0127,22.47,158,0.7
190,train,5.0142,0.4523,0.0000,0.0186,32.47,161,0.8
191,train,4.8703,0.5341,0.0065,0.0387,18.54,155,0.7
192,train,4.7760,0.5285,0.0128,0.0641,17.32,156,0.7
193,train,4.8529,0.4753,0.0064,0.0382,20.15,157,0.8
194,train,4.9239,0.4355,0.0123,0.0432,20.73,162,0.6
195,train,4.8752,0.4192,0.0061,0.0429,23.05,163,0.8
196,train,4.9052,0.4107,0.0061,0.0368,23.83,163,0.7
197,train,4.9682,0.4408,0.0000,0.0188,24.60,160,0.8
198,train,4.9759,0.4484,0.0000,0.0000,30.40,163,0.7
199,train,4.8963,0.5041,0.0063,0.0377,18.96,159,0.8
200,train,4.9023,0.4152,0.0000,0.0122,25.59,164,0.8
200,val,4.9218,,0.0047,0.0271,23.69,6984,36.5
201,train,4.8443,0.5096,0.0000,0.0133,26.30,150,0.8
202,train,4.8338,0.4343,0.0124,0.0621,17.97,161,0.6
203,train,5.0099,0.4364,0.0063,0.0188,24.94,160,0.6
204,train,4.8998,0.4287,0.0186,0.0373,18.02,161,0.7
205,train,4.8849,0.4417,0.0125,0.0312,23.27,160,0.8
206,train,4.8939,0.4430,0.0127,0.0382,21.79,157,0.8
207,train,4.7777,0.4703,0.0197,0.0658,20.99,152,0.6
208,train,4.9723,0.4745,0.0000,0.0000,25.76,156,0.8
209,train,4.9917,0.5544,0.0000,0.0000,34.17,146,0.6
210,train,4.9303,0.4735,0.0065,0.0323,24.91,155,0.6
211,train,5.0553,0.4916,0.0000,0.0066,32.12,151,0.7
212,train,4.8838,0.5367,0.0000,0.0070,24.49,142,0.6
213,train,4.8519,0.4170,0.0123,0.0736,17.92,163,0.7
214,train,5.0315,0.5047,0.0000,0.0067,23.75,149,0.6
215,train,4.9266,0.4595,0.0000,0.0000,23.21,156,0.6
216,train,4.8964,0.4474,0.0063,0.0253,24.59,158,0.8
217,train,4.9188,0.4339,0.0062,0.0247,22.36,162,0.8
218,train,4.9649,0.4402,0.0062,0.0435,27.94,161,0.8
219,train,4.9547,0.4724,0.0063,0.0312,26.36,160,0.7
220,train,4.9815,0.4835,0.0000,0.0000,37.95,159,0.8
221,train,4.9930,0.5311,0.0068,0.0204,23.60,147,0.7
222,train,5.0373,0.4985,0.0000,0.0000,49.77,162,0.8
223,train,4.8585,0.4482,0.0125,0.0437,18.99,160,0.7
224,train,4.9822,0.5227,0.0000,0.0185,27.18,162,0.6
225,train,5.1988,0.4793,0.0000,0.0127,30.47,157,0.8
226,train,4.9239,0.5296,0.0136,0.0340,25.55,147,0.8
227,train,5.0166,0.5104,0.0000,0.0065,29.85,153,0.8
228,train,4.9104,0.4368,0.0062,0.0311,27.80,161,0.8
229,train,4.9262,0.5203,0.0134,0.0403,23.73,149,0.8
230,train,4.9736,0.5039,0.0000,0.0066,30.10,151,0.6
231,train,4.8484,0.4176,0.0184,0.0552,25.23,163,0.8
232,train,4.8918,0.4932,0.0064,0.0513,23.94,156,0.8
233,train,5.0547,0.4372,0.0062,0.0311,27.71,161,0.8
234,train,4.8731,0.4211,0.0123,0.0491,25.18,163,0.8
235,train,4.8581,0.5058,0.0133,0.0600,17.57,150,0.6
236,train,4.8404,0.5272,0.0000,0.0132,27.31,152,0.8
237,train,5.0094,0.4875,0.0065,0.0258,23.76,155,0.8
238,train,4.8876,0.4378,0.0000,0.0253,20.15,158,0.8
239,train,5.0468,0.4326,0.0000,0.0127,24.92,158,0.7
240,train,4.8200,0.4124,0.0061,0.0366,21.54,164,0.8
241,train,4.8886,0.4479,0.0062,0.0247,23.27,162,0.8
242,train,4.9614,0.4831,0.0000,0.0064,29.42,156,0.8
243,train,4.9354,0.4297,0.0062,0.0124,27.26,161,0.8
244,train,4.8363,0.4216,0.0123,0.0864,19.32,162,0.7
245,train,5.0755,0.4399,0.0063,0.0252,24.40,159,0.8
246,train,4.9420,0.4509,0.0064,0.0128,22.10,156,0.8
247,train,4.8421,0.4439,0.0000,0.0312,27.16,160,0.8
248,train,4.8354,0.4612,0.0063,0.0314,22.75,159,0.6
249,train,5.0366,0.4185,0.0186,0.0497,22.70,161,0.6
250,train,4.7532,0.4462,0.0189,0.0566,22.61,159,0.8
251,train,4.8546,0.4194,0.0126,0.0314,17.47,159,0.6
252,train,4.9289,0.4933,0.0068,0.0135,30.37,148,0.6
253,train,4.9080,0.4189,0.0000,0.0124,24.21,161,0.7
254,train,5.0398,0.4622,0.0065,0.0065,24.20,154,0.8
255,train,4.8416,0.5440,0.0067,0.0133,26.82,150,0.6
256,train,5.0025,0.4806,0.0000,0.0131,29.78,153,0.8
257,train,4.9920,0.4495,0.0000,0.0000,32.62,160,0.8
258,train,4.8437,0.4854,0.0133,0.0533,20.21,150,0.7
259,train,4.9411,0.4470,0.0000,0.0064,27.69,157,0.6
260,train,5.0360,0.4231,0.0062,0.0124,32.78,161,0.8
261,train,5.0541,0.4239,0.0000,0.0000,32.71,162,0.8
262,train,4.8607,0.4282,0.0000,0.0435,20.49,161,0.6
263,train,4.9118,0.4100,0.0122,0.0610,24.04,164,0.8
264,train,4.9170,0.4266,0.0063,0.0312,24.90,160,0.6
265,train,4.8758,0.4232,0.0062,0.0185,19.49,162,0.8
266,train,4.8430,0.4852,0.0132,0.0658,21.14,152,0.7
267,train,5.0461,0.4600,0.0062,0.0062,39.79,162,0.8
268,train,4.8455,0.4758,0.0062,0.0435,24.66,161,0.8
269,train,4.8569,0.4880,0.0130,0.0455,19.62,154,0.6
270,train,4.9236,0.4546,0.0000,0.0000,28.75,161,0.8
271,train,4.9087,0.6427,0.0072,0.0145,24.27,138,0.8
272,train,4.8917,0.4442,0.0186,0.0497,22.65,161,0.8
273,train,4.9398,0.5038,0.0065,0.0131,34.68,153,0.6
274,train,4.9376,0.6487,0.0000,0.0368,18.47,136,0.8
275,train,4.9107,0.5040,0.0000,0.0500,31.22,160,0.8
276,train,5.0718,0.4369,0.0063,0.0253,25.16,158,0.8
277,train,4.8333,0.4105,0.0063,0.0188,17.26,160,0.7
278,train,5.1360,0.4205,0.0000,0.0063,29.43,160,0.6
279,train,5.0760,0.4119,0.0000,0.0000,31.31,160,0.8
280,train,4.9033,0.4039,0.0000,0.0063,25.57,159,0.8
281,train,4.8886,0.5660,0.0141,0.0211,19.78,142,0.8
282,train,4.9530,0.4142,0.0064,0.0256,25.78,156,0.6
283,train,4.8609,0.4347,0.0000,0.0197,27.36,152,0.6
284,train,5.0386,0.4173,0.0000,0.0125,27.53,160,0.8
285,train,4.8201,0.4204,0.0000,0.0382,21.32,157,0.6
286,train,4.8857,0.4172,0.0063,0.0188,20.62,160,0.8
287,train,4.8602,0.3848,0.0124,0.0373,24.66,161,0.6
288,train,4.9101,0.4469,0.0199,0.0795,16.73,151,0.8
289,train,4.8756,0.4575,0.0127,0.0633,20.86,158,0.8
290,train,4.8846,0.4777,0.0065,0.0195,23.91,154,0.8
291,train,4.8330,0.4726,0.0000,0.0470,22.29,149,0.8
292,train,4.8300,0.5332,0.0000,0.0596,17.01,151,0.8
293,train,4.8613,0.4325,0.0123,0.0245,22.12,163,0.8
294,train,4.8807,0.3851,0.0062,0.0185,23.12,162,0.8
295,train,4.8393,0.4088,0.0000,0.0500,19.52,160,0.8
