name,variant,position_m,yaw_deg,corner_m,inlier_ratio,n_modes,argmax_m,cos_ea,cos_nlp,cos_cnx_ea,cos_cnx_nlp
0000000083,oracle_a,57.7856025277829,58.785255392174804,66.71323499404467,0.6,15,75.2774658203125,-0.022258360596313326,0.0885957190882884,-0.2520986624846144,0.3039737271880233
0000000083,oracle_b,78.8541907784104,43.08804223089098,90.15523875314182,0.8869047619047619,168,83.91793060302734,-0.01800516310146154,0.03130775181487293,-0.05680250601573727,0.04795438421811513
0000000086,ipm_cl,85.40083257514931,51.06416371993468,127.69292180546896,0.5381165919282511,223,70.87956237792969,-0.003192951570024921,0.002693105862644505,-0.12175983442018062,0.041799257808483814
0000000086,oracle_a,85.85986157186696,99.97416418236094,99.9033467427197,0.8333333333333334,24,84.68246459960938,-0.030426020140955124,0.040932222109554585,-0.15168814883778808,0.400998762548308
0000000086,oracle_b,80.80025844571617,32.18693055522847,84.87545613504102,0.593103448275862,290,78.7799072265625,-0.012303640140454548,0.015003346926104605,-0.004528654028004782,0.05486177674285937
0000000090,ipm_cl,80.54583712594967,0.8103325983065481,121.4053651167783,0.8282828282828283,99,73.37623596191406,0.0020085276689031702,0.029460283973332682,-0.11653408919939935,0.10535356551039182
0000000090,oracle_a,61.87420177757414,43.93578334290299,77.78580034019603,1.0,15,59.27821731567383,-0.020408407364309444,0.011991267283268828,-0.19269645098423413,0.3102205904177234
0000000090,oracle_b,21.682615887106184,29.262376969172838,31.126328483830477,0.6266666666666667,225,46.04749298095703,-0.006534387164748004,0.024012601862881736,-0.004024103250443097,0.10331694800731225
0000000093,ipm_cl,77.67146975194672,39.284297846326,78.09058290683696,1.0,118,79.90389251708984,-0.0264578690101591,0.02577079964487803,-0.06684589221755075,0.07317235978866266
0000000093,oracle_a,93.5540253084352,116.95896245729998,69.98015324425425,0.75,8,56.49188995361328,-0.07207550920678636,-0.018317144157401693,-0.195781335986761,0.19604009706545894
0000000093,oracle_b,78.10801752495588,30.857132450415826,79.12548049444008,0.9834710743801653,121,80.02295684814453,-0.02735960987658462,0.023925843421388,0.03718704725184259,0.039960509139879544
0000000096,ipm_cl,76.56933184392136,14.957356358228916,77.79323839249949,1.0,130,78.7590103149414,-0.03251649228977175,0.028434231801249047,-0.0278008004243629,0.04288568551751607
0000000096,oracle_a,,,,0.0,3,22.994140625,-0.024452912762828023,0.007545944881355434,-0.15671144617972987,0.21728295989826418
0000000096,oracle_b,75.71406943356642,1.8302928115626198,76.84254383387871,1.0,115,77.26615905761719,-0.035229432592509956,0.02467491446749778,0.021835713226047528,0.04226511663067884
0000000100,ipm_cl,77.11032089721216,38.8471108753117,78.47979742303677,0.944954128440367,109,80.32225036621094,-0.018758578258282897,0.016805196074984808,-0.027637235645258884,0.035738226507253106
0000000100,oracle_a,,,,0.0,0,56.72405242919922,0.024607657234329585,0.012588592188021197,-0.14053059721721403,0.07968195499105335
0000000100,oracle_b,72.81412465559862,8.93650666189959,75.23438798106886,0.9545454545454546,132,76.24547576904297,-0.029833453578820217,0.02585601168145875,0.039336478931155695,0.009863087414792852
0000000103,ipm_cl,72.62740544572407,10.34499201993209,75.59056818960546,1.0,112,74.84148406982422,-0.020362874999413333,0.03362678571055701,-0.12962871454728916,0.15178773902223064
0000000103,oracle_a,,,,0.0,2,50.85817337036133,-0.007417790703172315,0.016988170713669672,-0.04070964863323827,0.15090776792211347
0000000103,oracle_b,72.86377341180587,16.703409449319935,72.76156377771609,0.8943089430894309,123,75.101318359375,-0.00915950535284025,0.03242883849200351,0.020204687907301854,0.06629419711957107
0000000107,ipm_cl,41.44838499176083,48.228163684562,48.78672529773677,0.9826086956521739,115,44.360416412353516,-0.0022581196495596693,0.035373202747326554,-0.16856739905555654,0.113137928827805
0000000107,oracle_a,72.16174675081446,49.80768429115938,98.06424409493619,0.9375,16,67.70240783691406,-0.03307365669252518,0.010481507397916269,-0.12891925075516114,-0.012062348816625441
0000000107,oracle_b,41.03875504837194,51.04153851279816,47.081939122019165,0.9398907103825137,183,44.64897918701172,-0.009789096858708197,0.03667286448831095,0.004271336038692142,0.0784641501173018
0000000110,ipm_cl,75.46655405707551,9.27161638420066,80.1040800933083,0.9550561797752809,89,77.77769470214844,-0.0006213958094442981,0.030319828599934085,-0.11582219519330386,0.14779571064066577
0000000110,oracle_a,,,,0.0,2,167.39004516601562,-0.034287607003643895,0.014626478123514577,-0.2085941142322985,0.366176462577226
0000000110,oracle_b,77.69595107474484,8.48194946519246,82.29569684768113,0.9655172413793104,116,79.18743896484375,-0.004156090685665053,0.028294806165898904,-0.03066083545576417,0.09259663177999518
0000000114,ipm_cl,70.6221954281717,20.747047968285813,74.6652412081826,0.8,110,69.30439758300781,-0.004189039642861562,0.033424684782818355,-0.1699510394516984,0.1788079912996359
0000000114,oracle_a,,,,0.0,1,98.52986907958984,-0.005800615069486208,0.03320204371423599,0.054429368897108,-0.024692816689815933
0000000114,oracle_b,70.47099110362647,18.218973029301225,69.12006896376325,0.9099099099099099,111,69.15682983398438,-0.004458202127662208,0.028192016412419585,-0.03619156620058153,0.10928071481551833
0000000117,ipm_cl,25.848023218805444,19.473380105989662,29.423107567187973,0.9528301886792453,106,29.41324234008789,-0.011781360047461853,0.03782284512606789,-0.13468235901702388,0.10944943241600942
0000000117,oracle_a,40.80196085504188,51.63444179773158,373.5195586945031,0.7692307692307693,26,44.447235107421875,-0.043058838053170394,0.019575878746932823,-0.17363448117434518,0.15219974070448927
0000000117,oracle_b,27.201499805826895,10.01940435520063,31.21554243999028,0.8359375,128,32.51441192626953,-0.013824215326834165,0.03925661664387516,-0.00746663592108477,0.05865184923504675
0000000121,ipm_cl,32.77948745966333,40.64423863347948,30.05827599921784,0.8666666666666667,90,34.993221282958984,-0.018743158272781436,0.043172136157897494,-0.21293778908425354,0.17052408465801794
0000000121,oracle_a,31.72873886637765,16.310738149028474,30.311786041249068,1.0,17,29.706886291503906,-0.01726805974337988,0.008710700460254406,-0.28150874744596044,0.17621158636085782
0000000121,oracle_b,32.96983064814842,41.47993831317482,31.37061587659305,0.944,125,33.9429817199707,-0.007730562870660141,0.03692908828784624,-0.0714676697561652,0.08048736430935749
0000000124,ipm_cl,41.580168304103736,37.8780834482854,68.27520803171011,0.6,60,75.99554443359375,-0.023478569956210484,0.04529820130181581,-0.16008474029826453,0.07470765472525186
0000000124,oracle_a,29.642066232541893,31.30310185972857,33.74929426694311,1.0,15,29.012229919433594,-0.024221339253488263,0.015291099066417195,-0.11674263041275355,0.1875108610897387
0000000124,oracle_b,41.63053751793202,21.25548975781621,43.091242117366505,0.7372262773722628,137,40.8670654296875,-0.011232477664004628,0.05194348457085449,-0.05198987531559635,0.07511327502239756
0000000128,ipm_cl,72.99240669505986,40.391987749699794,77.07534989402771,0.9921875,128,75.65576171875,-0.005734988990544824,0.026602359995445985,-0.10012157180680482,0.02048995490588533
0000000128,oracle_a,,,,0.0,0,91.03062438964844,-0.007592819075252038,0.010103922989687418,-0.04419595443268872,0.189114806340886
0000000128,oracle_b,77.35247143100345,3.458090255184877,79.87008377247865,0.9147286821705426,129,77.8257064819336,-0.01319524166081433,0.026206335592413893,0.027797210493155165,0.016326383999970367
0000000131,ipm_cl,73.12984532965916,7.667471764418208,75.5900750254959,1.0,103,75.08116149902344,-0.01818393336179444,0.04339923348155349,-0.14200335549072568,0.1022433685528503
0000000131,oracle_a,67.88384248149947,4.81065966277367,89.24282828176045,1.0,8,71.06291961669922,-0.023347304806385378,0.023293355559567054,-0.060331668844764486,0.19218153502264762
0000000131,oracle_b,72.63715830304581,4.127205916216193,87.9995853209737,0.9411764705882353,85,74.48008728027344,-0.014513525887565945,0.042124879511299035,0.012135707039570579,0.05841940918217953
0000000135,ipm_cl,75.72371598467248,19.926871563201885,78.03279087708579,0.9245283018867925,159,79.49095916748047,-0.023640629346561432,0.04529055862111152,-0.08541556381023539,0.18769782777181354
0000000135,oracle_a,63.41277060964841,29.80589552311161,64.05473732242349,0.7391304347826086,23,61.12535858154297,-0.024385950399702656,0.033694464641934235,-0.02775784272088989,0.08703970552990102
0000000135,oracle_b,77.33089116040551,13.474734890571233,77.5755644333282,0.9230769230769231,143,78.48095703125,-0.012649580655929277,0.040303154498228515,0.04797766950454411,0.07494473540319373
