step,split,ce,cert,top1,top5,cell_err_m,n,sec
2163,train,3.7947,0.4272,0.0067,0.0805,24.79,149,1.9
2164,train,3.7212,0.2733,0.0000,0.0000,24.82,163,0.7
2165,train,5.3073,0.3176,0.0000,0.0000,25.87,163,2.1
2166,train,3.1338,0.2335,0.0736,0.3742,10.03,163,0.8
2167,train,3.5437,0.3094,0.0192,0.1090,10.38,156,1.4
2168,train,3.4798,0.3131,0.0696,0.4304,8.91,158,2.1
2169,train,4.3267,0.2999,0.0000,0.0066,23.92,151,1.5
2170,train,3.4370,0.3993,0.0476,0.3061,9.33,147,0.8
2171,train,3.5409,0.4425,0.0195,0.1299,16.03,154,1.6
2172,train,3.9151,0.2854,0.0063,0.0380,23.27,158,2.1
2173,train,3.4606,0.2628,0.0920,0.3006,10.83,163,1.6
2174,train,5.3378,0.3779,0.0000,0.0000,24.66,160,2.0
2175,train,3.3345,0.4296,0.0633,0.3101,13.18,158,1.7
2176,train,3.3054,0.3295,0.0738,0.3490,9.33,149,0.8
2177,train,3.3012,0.3547,0.0724,0.3355,8.07,152,2.1
2178,train,3.3559,0.2767,0.0506,0.2405,12.54,158,1.5
2179,train,3.5872,0.3182,0.0321,0.1410,17.50,156,0.8
2180,train,3.3953,0.3460,0.0694,0.2847,15.38,144,1.5
2181,train,3.6251,0.3829,0.0385,0.1538,13.98,156,0.8
2182,train,3.5101,0.3631,0.0260,0.1753,19.14,154,0.8
2183,train,3.8867,0.2773,0.1173,0.3086,9.25,162,1.4
2184,train,3.3405,0.3750,0.0067,0.1067,18.26,150,1.5
2185,train,3.3902,0.3114,0.0926,0.3086,15.27,162,0.8
2186,train,3.7255,0.2670,0.0556,0.2531,8.84,162,2.1
2187,train,4.1114,0.2697,0.0125,0.0750,8.83,160,2.1
2188,train,3.9719,0.3234,0.0000,0.0185,24.63,162,2.1
2189,train,3.5672,0.2572,0.0253,0.2468,10.40,158,0.8
2190,train,3.8650,0.2839,0.0000,0.0373,11.10,161,0.8
2191,train,3.3258,0.2954,0.0129,0.2258,15.62,155,1.5
2192,train,4.3366,0.3298,0.0000,0.0128,33.89,156,1.9
2193,train,3.4429,0.4961,0.0637,0.2866,15.80,157,1.7
2194,train,3.1264,0.2859,0.1358,0.6111,6.30,162,1.7
2195,train,3.3633,0.2846,0.0429,0.2822,9.46,163,2.2
2196,train,2.7110,0.2578,0.1779,0.5951,6.05,163,1.5
2197,train,4.4447,0.2816,0.0000,0.0000,26.87,160,0.8
2198,train,3.1755,0.2624,0.0859,0.4969,7.40,163,1.6
2199,train,3.0750,0.3530,0.0692,0.3333,13.13,159,2.2
2200,train,4.0643,0.2465,0.0000,0.0000,31.21,164,1.9
2200,val,4.2306,,0.0263,0.1342,18.24,6984,37.4
2201,train,3.7603,0.2991,0.0400,0.2600,9.57,150,1.7
2202,train,4.7170,0.2761,0.0000,0.0062,28.08,161,1.3
2203,train,4.4377,0.3115,0.0000,0.0000,18.96,160,0.7
2204,train,3.8615,0.2950,0.0000,0.0000,21.39,161,0.8
2205,train,3.4250,0.2702,0.0437,0.1750,19.56,160,0.8
2206,train,3.9816,0.2944,0.0127,0.0446,27.28,157,1.5
2207,train,3.2400,0.3061,0.0789,0.4145,10.33,152,1.4
2208,train,2.9439,0.3267,0.1090,0.2692,28.11,156,2.1
2209,train,5.6888,0.3683,0.0000,0.0137,16.33,146,1.8
2210,train,3.5036,0.3175,0.0387,0.1806,12.60,155,1.5
2211,train,4.8942,0.3566,0.0000,0.0000,18.33,151,1.7
2212,train,3.3101,0.3773,0.1408,0.4789,7.34,142,1.5
2213,train,3.5459,0.2865,0.0184,0.1166,12.26,163,1.6
2214,train,5.1266,0.3345,0.0067,0.0201,12.38,149,1.6
2215,train,3.2425,0.3281,0.0769,0.2756,13.81,156,1.3
2216,train,3.5128,0.2878,0.0190,0.1139,19.74,158,0.8
2217,train,3.7680,0.2990,0.0000,0.0185,20.58,162,2.1
2218,train,4.2806,0.2952,0.0745,0.2422,9.76,161,2.2
2219,train,4.1258,0.2536,0.0000,0.0000,30.19,160,1.5
2220,train,3.5112,0.2632,0.0189,0.0692,22.68,159,1.7
2221,train,4.6392,0.3418,0.0000,0.0068,14.40,147,1.9
2222,train,4.1287,0.2740,0.0370,0.2160,12.30,162,0.8
2223,train,3.4726,0.2630,0.0938,0.3688,10.72,160,1.7
2224,train,3.6792,0.3341,0.0802,0.2901,9.83,162,0.6
2225,train,3.5691,0.3274,0.0000,0.0127,30.37,157,0.8
2226,train,3.2783,0.3452,0.1565,0.5238,8.71,147,0.8
2227,train,4.6350,0.4300,0.0000,0.0392,14.04,153,1.5
2228,train,3.1183,0.2598,0.1801,0.5342,12.28,161,1.9
2229,train,3.7868,0.3491,0.0268,0.1477,11.56,149,1.8
2230,train,4.7191,0.3528,0.0000,0.0000,19.85,151,1.7
2231,train,3.1974,0.2402,0.0552,0.3804,13.50,163,0.8
2232,train,2.9905,0.3449,0.1410,0.6346,10.98,156,0.8
2233,train,3.7015,0.3357,0.0062,0.1242,12.77,161,2.2
2234,train,3.4295,0.3087,0.2270,0.6564,6.38,163,2.1
2235,train,3.9699,0.2949,0.0000,0.0267,10.06,150,0.6
2236,train,4.0112,0.3076,0.0066,0.0987,27.52,152,1.7
2237,train,3.4676,0.2982,0.0129,0.2065,16.26,155,2.1
2238,train,4.1641,0.2902,0.0000,0.0380,15.05,158,0.8
2239,train,3.3369,0.2767,0.0380,0.1899,19.15,158,0.8
2240,train,4.2420,0.2596,0.0183,0.0915,19.98,164,0.8
2241,train,4.5887,0.2516,0.0000,0.0000,23.45,162,2.1
2242,train,4.5577,0.2843,0.0000,0.0192,24.28,156,2.1
2243,train,4.7210,0.3485,0.0000,0.0000,39.02,161,1.5
2244,train,3.7384,0.3643,0.0062,0.0247,15.15,162,1.8
2245,train,3.5923,0.2461,0.0126,0.2264,9.90,159,0.8
2246,train,3.4547,0.2914,0.0064,0.0449,22.07,156,1.7
2247,train,2.9974,0.2621,0.1063,0.5688,9.95,160,2.0
2248,train,4.7454,0.2799,0.0000,0.0126,17.42,159,1.5
2249,train,4.6624,0.2777,0.0000,0.0000,27.56,161,2.0
2250,train,3.3248,0.2722,0.0377,0.2390,20.61,159,2.1
2251,train,4.1870,0.2359,0.0063,0.0503,9.90,159,0.6
2252,train,3.5671,0.3536,0.0135,0.1622,16.19,148,1.5
2253,train,3.9887,0.2834,0.0311,0.1615,11.84,161,1.6
2254,train,3.6405,0.2882,0.0260,0.3052,25.09,154,1.6
2255,train,4.9025,0.3136,0.0000,0.0000,30.68,150,1.9
2256,train,3.5066,0.3214,0.0131,0.1242,12.30,153,1.5
2257,train,3.7810,0.2998,0.0000,0.0250,21.06,160,2.0
2258,train,4.7801,0.4345,0.0000,0.0000,21.24,150,0.7
2259,train,4.0746,0.2758,0.0828,0.3885,7.18,157,1.9
2260,train,3.8016,0.2310,0.0000,0.0248,18.50,161,2.1
2261,train,3.2680,0.3044,0.0741,0.3642,7.08,162,2.0
2262,train,3.7413,0.2765,0.0062,0.0994,10.57,161,1.9
2263,train,4.0370,0.2406,0.0000,0.0183,27.96,164,0.8
2264,train,4.2528,0.2635,0.0188,0.0875,12.13,160,1.7
2265,train,3.4741,0.2796,0.1049,0.3889,8.82,162,2.2
2266,train,3.7392,0.3859,0.0000,0.0132,25.22,152,0.8
2267,train,3.3363,0.2326,0.0741,0.3704,10.97,162,0.8
2268,train,4.6962,0.3435,0.0000,0.0062,31.33,161,1.6
2269,train,3.3567,0.4161,0.1104,0.4286,8.07,154,1.4
2270,train,4.3019,0.3000,0.0000,0.0000,26.49,161,2.1
2271,train,4.0126,0.4321,0.0000,0.0362,14.70,138,1.5
2272,train,2.9480,0.2922,0.1553,0.6087,4.77,161,1.6
2273,train,3.9252,0.3127,0.0000,0.0588,10.94,153,1.3
2274,train,3.3489,0.4427,0.0515,0.2794,15.23,136,2.2
2275,train,3.9109,0.2957,0.0000,0.0563,15.62,160,0.8
2276,train,3.7403,0.3088,0.0063,0.0443,18.00,158,2.0
2277,train,4.1559,0.2484,0.0000,0.0000,23.40,160,1.6
2278,train,3.6801,0.3189,0.0563,0.2750,10.15,160,0.7
2279,train,4.2519,0.2809,0.0000,0.0000,23.01,160,2.0
2280,train,3.9752,0.2873,0.0629,0.2767,12.38,159,2.0
2281,train,3.2119,0.4439,0.1408,0.3451,7.56,142,2.1
2282,train,4.9214,0.2654,0.0000,0.0000,24.30,156,1.8
2283,train,4.6866,0.3318,0.0132,0.0592,10.04,152,1.9
2284,train,3.9102,0.2965,0.0312,0.1187,11.90,160,0.8
2285,train,3.3573,0.3157,0.0701,0.3376,12.28,157,0.6
2286,train,5.1387,0.3052,0.0000,0.0250,13.67,160,2.0
2287,train,3.4219,0.3378,0.1242,0.5404,8.10,161,1.6
2288,train,4.5972,0.3652,0.0000,0.0000,24.39,151,2.0
2289,train,3.9081,0.2929,0.0000,0.0127,35.23,158,2.1
2290,train,3.6027,0.3257,0.0000,0.0065,28.32,154,0.8
2291,train,3.4204,0.3248,0.0268,0.1342,20.11,149,0.8
2292,train,3.4091,0.3791,0.0464,0.3113,7.17,151,1.7
2293,train,5.2272,0.2988,0.0000,0.0061,16.96,163,0.8
2294,train,4.0596,0.3149,0.0556,0.1728,8.48,162,0.8
2295,train,3.4995,0.3027,0.0625,0.2688,13.27,160,0.8
2296,train,3.4090,0.3153,0.0312,0.2562,11.49,160,1.4
2297,train,3.3550,0.3603,0.0252,0.1258,24.80,159,0.8
2298,train,3.3300,0.3364,0.0755,0.3585,8.90,159,0.8
2299,train,3.4261,0.2808,0.0373,0.2112,12.50,161,1.3
2300,train,3.8786,0.2806,0.0063,0.0437,11.21,160,1.7
2301,train,4.2831,0.3003,0.0000,0.0000,38.89,161,1.3
2302,train,3.8594,0.3655,0.0000,0.0000,32.63,152,1.4
2303,train,3.6000,0.3040,0.0000,0.1173,22.03,162,0.6
2304,train,4.5990,0.3207,0.0124,0.0311,24.99,161,1.4
2305,train,3.3043,0.3272,0.1447,0.4277,8.45,159,2.0
2306,train,3.6857,0.3616,0.0131,0.0915,12.84,153,1.6
2307,train,3.1409,0.2583,0.0854,0.3415,9.51,164,0.8
2308,train,4.4662,0.3780,0.0000,0.0068,29.38,147,1.5
2309,train,3.3898,0.2409,0.0736,0.4724,9.55,163,1.6
