step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec,vce_m,vce_pose_m
163,train,3.2701,0.1731,8.74,3.0452,10.64,1265,131.7,nan,nan
164,train,3.1305,0.0948,7.23,2.9795,8.19,1340,132.5,nan,nan
165,train,4.1118,0.0565,11.24,4.1287,12.15,1380,133.3,nan,nan
166,train,3.1785,0.1481,7.05,2.9174,4.58,1458,134.0,nan,nan
167,train,3.7661,0.1978,8.23,3.9864,7.89,1446,134.8,nan,nan
168,train,4.5686,0.1224,12.81,4.1786,13.83,1373,135.6,nan,nan
169,train,3.2398,0.2642,7.74,3.3382,7.65,1404,136.4,nan,nan
170,train,3.7895,0.1108,7.97,3.5680,7.17,1300,137.1,nan,nan
171,train,2.7567,0.2489,4.70,2.5810,4.58,1406,137.9,nan,nan
172,train,3.9877,0.0630,13.02,4.0957,13.27,1364,138.7,nan,nan
173,train,4.0186,0.0716,10.71,3.5534,8.81,1368,139.5,nan,nan
174,train,4.4554,0.0239,14.09,3.7019,12.17,1340,140.2,nan,nan
175,train,3.3405,0.1739,7.29,3.1498,5.56,1340,141.0,nan,nan
176,train,3.0528,0.2462,9.33,2.7925,9.09,1389,141.8,nan,nan
177,train,3.1772,0.1362,7.63,3.1533,6.56,1314,142.6,nan,nan
178,train,3.5446,0.0615,9.44,3.1500,8.24,1350,143.3,nan,nan
179,train,3.5039,0.1524,10.22,3.0684,7.99,1293,144.1,nan,nan
180,train,3.3443,0.1986,7.46,2.8106,5.74,1390,144.9,nan,nan
181,train,3.0771,0.0996,7.22,3.2187,9.45,1375,145.7,nan,nan
182,train,3.7555,0.1191,9.99,3.4168,11.15,1310,146.4,nan,nan
183,train,3.9005,0.0178,10.45,3.7012,11.46,1403,147.2,nan,nan
184,train,4.0574,0.0354,12.97,3.8940,13.26,1442,148.0,nan,nan
185,train,3.5053,0.1780,9.50,3.1883,10.69,1354,148.8,nan,nan
186,train,3.7376,0.0224,7.81,4.0836,9.28,1429,149.5,nan,nan
187,train,3.2754,0.1790,10.10,3.0319,10.23,1279,150.3,nan,nan
188,train,3.6067,0.0873,7.67,3.7073,7.29,1363,151.1,nan,nan
189,train,3.9711,0.1173,9.39,3.6772,11.07,1339,151.9,nan,nan
190,train,3.7018,0.2076,11.43,3.5661,9.23,1334,152.7,nan,nan
191,train,4.0613,0.0660,11.95,3.6147,11.03,1393,153.4,nan,nan
192,train,3.5924,0.0942,9.52,3.3582,9.22,1444,154.2,nan,nan
193,train,3.9780,0.1104,15.14,3.6125,16.46,1313,155.0,nan,nan
194,train,3.3261,0.1380,8.19,2.9480,5.74,1384,155.8,nan,nan
195,train,4.2406,0.0113,13.76,4.1658,15.80,1329,156.5,nan,nan
196,train,3.5655,0.0910,8.47,3.7942,10.32,1341,157.3,nan,nan
197,train,4.0177,0.0394,10.28,3.8933,8.77,1372,158.1,nan,nan
198,train,3.9006,0.0655,10.33,3.9547,11.87,1419,158.9,nan,nan
199,train,3.2657,0.1904,7.84,3.3866,10.47,1392,159.6,nan,nan
200,train,3.7222,0.0990,9.89,3.5407,8.66,1364,160.4,nan,nan
201,train,3.2577,0.1476,8.88,3.2003,6.33,1389,161.2,nan,nan
202,train,3.3300,0.1526,8.27,2.8163,7.36,1396,162.0,nan,nan
203,train,3.4546,0.1001,7.57,2.9330,6.86,1368,162.7,nan,nan
204,train,3.5858,0.0763,11.55,3.1323,12.50,1336,163.5,nan,nan
205,train,3.0011,0.1347,8.10,2.3292,7.17,1388,164.3,nan,nan
206,train,4.0575,0.0718,12.45,4.0194,13.87,1393,165.1,nan,nan
207,train,3.1315,0.1252,6.44,2.9696,4.24,1414,165.8,nan,nan
208,train,3.3291,0.2079,10.27,3.2110,7.86,1323,166.6,nan,nan
209,train,3.1892,0.2768,9.14,3.4011,11.73,1351,167.4,nan,nan
210,train,3.7510,0.0480,13.34,3.4847,13.54,1313,168.2,nan,nan
211,train,3.1178,0.1109,7.84,2.9280,7.48,1262,169.0,nan,nan
212,train,4.1856,0.0659,12.09,4.0827,12.03,1380,169.7,nan,nan
213,train,3.0624,0.1983,8.17,3.0978,12.98,1392,170.5,nan,nan
