step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec
146,train,3.8284,0.1560,8.44,3.6670,6.99,718,80.1
147,train,3.2877,0.1835,6.78,3.5657,6.65,714,80.6
148,train,2.8663,0.2291,5.89,3.1478,7.40,742,81.2
149,train,2.5609,0.2165,4.61,2.6200,5.89,716,81.7
150,train,3.5585,0.1521,10.60,2.9562,11.83,756,82.2
151,train,3.3723,0.0952,7.07,3.6648,9.06,756,82.7
152,train,3.6890,0.1376,9.69,3.6018,6.24,756,83.3
153,train,4.0385,0.0337,13.12,3.9734,13.85,742,83.8
154,train,2.9550,0.1129,9.48,3.2549,10.31,700,84.3
155,train,4.1545,0.0261,12.96,4.1158,13.08,728,84.8
156,train,3.5740,0.2159,12.05,3.7486,11.47,704,85.4
157,train,2.7773,0.2195,6.82,2.7149,10.32,688,85.9
158,train,3.9138,0.0810,9.24,3.8024,7.47,716,86.4
159,train,2.2921,0.1131,4.26,2.5104,3.00,716,87.0
160,train,3.3991,0.1280,6.91,2.5911,5.24,742,87.5
161,train,2.5344,0.2551,7.17,2.5821,9.00,690,88.0
162,train,3.5886,0.1162,10.60,3.4447,11.81,714,88.5
163,train,2.7315,0.2734,4.87,2.9030,4.41,757,89.1
164,train,2.1982,0.3329,3.58,1.8439,1.00,784,89.6
165,train,4.1269,0.0350,11.12,4.2443,9.00,742,90.1
166,train,2.1858,0.3241,4.26,1.8835,3.00,756,90.6
167,train,3.6507,0.0812,11.98,3.3951,17.24,714,91.2
168,train,2.7203,0.2297,6.40,2.4910,3.41,714,91.7
169,train,2.3373,0.2315,3.63,1.8995,2.00,743,92.2
170,train,3.4050,0.2171,10.14,3.2034,12.16,714,92.7
171,train,3.0690,0.2486,8.63,3.6103,9.10,728,93.3
172,train,4.3823,0.1010,10.35,3.8469,6.39,703,93.8
173,train,3.0689,0.1739,6.06,3.1219,5.24,742,94.3
174,train,3.9023,0.1396,14.12,3.7271,10.60,702,94.8
175,train,2.5267,0.1636,4.51,1.6070,1.41,715,95.4
176,train,3.8086,0.1420,10.78,4.0836,13.69,704,95.9
177,train,3.5713,0.0580,9.33,3.1492,9.97,742,96.4
178,train,2.6919,0.2247,5.32,2.4310,6.41,730,97.0
179,train,3.1568,0.1000,5.71,3.4075,9.19,770,97.5
180,train,4.0477,0.0371,11.41,4.2013,13.93,674,98.0
181,train,3.3549,0.1746,8.93,3.0353,7.51,716,98.6
182,train,3.9745,0.0287,10.83,3.8858,10.29,663,99.1
183,train,4.1504,0.0407,10.49,4.1044,9.32,688,99.7
184,train,3.3028,0.1359,7.45,2.7037,4.00,714,100.2
185,train,4.0338,0.0886,9.67,3.9413,10.24,756,100.7
186,train,4.0209,0.0429,10.57,3.0780,11.41,700,101.3
187,train,3.0517,0.0553,5.41,3.1510,5.24,687,101.8
188,train,3.2975,0.2037,8.18,3.1202,5.24,756,102.4
189,train,3.8181,0.0783,11.54,3.6437,9.51,728,102.9
190,train,2.8640,0.1809,6.56,3.0328,8.10,702,103.4
191,train,2.6061,0.1536,4.74,2.5278,4.65,690,103.9
192,train,3.7464,0.0810,8.38,3.2009,9.00,728,104.4
193,train,2.5266,0.3360,5.47,2.1975,2.00,756,105.0
194,train,3.2115,0.1852,10.52,2.9687,15.12,702,105.5
195,train,2.9028,0.1336,6.41,2.6710,8.51,756,106.0
196,train,4.1025,0.1212,8.39,3.6114,7.47,652,106.6
197,train,4.6910,0.0967,13.93,5.1150,17.01,662,107.1
198,train,3.9974,0.0769,13.40,4.2505,14.32,702,107.6
199,train,3.6163,0.0199,8.62,3.6402,13.40,702,108.2
200,train,2.3011,0.3879,4.41,2.7694,12.47,678,108.7
201,train,3.0287,0.1619,8.93,2.3489,9.81,729,109.2
202,train,2.8728,0.0434,5.84,2.7286,4.83,715,109.7
203,train,2.9761,0.2174,10.31,2.5897,8.41,690,110.3
204,train,3.0901,0.2225,9.55,3.5533,8.10,728,110.8
205,train,3.8490,0.1867,10.35,3.4907,15.21,664,111.3
206,train,2.9306,0.1198,5.70,2.6752,6.47,743,111.8
207,train,3.0964,0.0872,7.46,3.1601,11.73,757,112.3
208,train,3.1618,0.1857,5.88,2.9241,5.24,770,112.9
209,train,2.6492,0.3057,4.67,2.2640,4.41,700,113.4
210,train,3.4119,0.1597,10.56,3.0572,10.08,714,113.9
211,train,2.9134,0.3457,7.91,2.7180,9.41,700,114.4
212,train,4.1180,0.1667,8.55,4.3683,11.02,756,114.9
213,train,2.0332,0.3459,3.05,1.9142,5.00,714,115.5
214,train,3.1149,0.0575,6.85,2.5524,6.00,730,116.0
215,train,2.3397,0.2961,4.68,2.3199,5.00,716,116.5
216,train,2.2726,0.3433,3.70,2.4695,5.24,702,117.0
217,train,2.5641,0.1889,7.40,2.5657,8.41,704,117.6
218,train,3.1616,0.0503,9.57,3.2530,10.57,756,118.1
219,train,2.8778,0.1882,6.77,3.3985,6.99,728,118.6
220,train,3.8668,0.0812,11.09,4.0326,11.90,702,119.1
221,train,3.0214,0.2555,12.44,3.2112,12.12,677,119.7
222,train,3.3224,0.1742,7.46,2.5795,4.41,729,120.2
223,train,3.5071,0.3241,6.41,3.4046,7.10,756,120.7
224,train,3.7460,0.2237,11.50,4.8127,15.83,742,121.2
225,train,3.9514,0.0250,15.60,3.9119,16.13,680,121.7
226,train,3.2188,0.1100,6.79,2.6856,5.16,718,122.3
227,train,3.2057,0.1307,7.56,3.1192,5.16,742,122.8
228,train,3.1104,0.1937,11.23,2.9634,14.08,728,123.3
229,train,2.9949,0.1964,7.93,2.5124,5.41,728,123.8
230,train,3.3803,0.0591,7.27,2.7534,3.00,728,124.4
231,train,2.8579,0.2061,5.63,2.8499,3.65,718,124.9
232,train,3.4897,0.0221,7.41,3.4403,7.89,770,125.4
233,train,3.4921,0.0494,7.91,3.1850,5.65,770,126.0
234,train,2.3528,0.3065,3.89,2.8638,6.41,744,126.5
235,train,4.1607,0.0110,13.32,3.6127,9.73,728,127.0
236,train,3.6010,0.0556,10.54,3.7178,8.65,701,127.5
237,train,2.2494,0.3347,3.15,2.4683,3.41,756,128.1
238,train,2.5362,0.1662,4.39,1.8808,2.00,728,128.6
239,train,3.4398,0.0566,7.96,3.5406,8.02,742,129.1
240,train,2.6623,0.2075,4.90,2.7676,4.83,742,129.6
241,train,2.7446,0.1051,5.30,2.5958,4.65,742,130.2
242,train,2.6602,0.4113,4.87,2.3503,3.00,688,130.7
243,train,2.6290,0.2329,5.43,2.2559,3.41,730,131.2
244,train,4.7242,0.0312,14.53,4.7063,15.58,704,131.8
245,train,3.2180,0.0966,8.04,2.9369,5.41,714,132.3
246,train,3.7907,0.1083,9.29,3.3924,7.66,674,132.8
247,train,3.2190,0.0799,9.47,3.6025,15.67,688,133.3
248,train,4.2832,0.0896,13.86,4.1483,14.41,703,133.9
249,train,3.1336,0.1207,6.48,3.4014,5.61,663,134.4
250,train,3.5416,0.0160,8.62,3.2435,6.83,689,134.9
251,train,2.6473,0.2578,7.14,2.9396,7.36,702,135.4
252,train,2.3640,0.4444,4.75,2.5275,5.00,702,136.0
