step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec
142,train,4.0001,0.0915,12.85,3.8773,14.47,1323,113.1
143,train,4.2892,0.1053,12.82,3.8196,14.09,1367,113.9
144,train,2.7582,0.2432,4.87,2.4184,4.53,1369,114.6
145,train,3.6640,0.1336,9.86,3.3764,11.40,1362,115.4
146,train,3.2559,0.0479,7.46,3.1062,5.24,1378,116.2
147,train,3.7620,0.0489,11.29,3.0081,10.22,1328,116.9
148,train,3.5620,0.0833,10.70,3.1119,7.48,1416,117.7
149,train,2.8542,0.1621,6.36,2.5501,5.33,1376,118.5
150,train,3.8490,0.1493,8.48,3.1895,6.83,1366,119.2
151,train,3.7999,0.0966,10.81,3.5950,12.80,1429,120.0
152,train,4.2146,0.0650,11.75,4.5753,15.58,1416,120.8
153,train,3.6068,0.0708,8.56,3.6168,8.48,1498,121.6
154,train,3.2374,0.1737,9.03,2.9627,7.36,1416,122.3
155,train,3.4598,0.1414,9.31,2.9778,9.66,1365,123.1
156,train,2.8938,0.2012,7.40,2.4615,6.34,1297,123.9
157,train,3.0967,0.1867,7.04,2.9351,8.04,1430,124.6
158,train,3.1451,0.1113,8.40,2.9272,9.61,1456,125.4
159,train,3.9476,0.1173,9.87,3.8651,9.46,1458,126.2
160,train,3.7681,0.0350,10.20,3.6230,9.45,1484,126.9
161,train,3.5226,0.0976,8.91,3.3021,9.24,1526,127.7
162,train,3.5047,0.0891,8.75,3.1036,7.65,1381,128.5
163,train,3.6365,0.0968,10.24,3.4686,11.69,1353,129.2
164,train,4.3530,0.1136,13.28,4.2383,13.88,1365,130.0
165,train,3.5736,0.1899,9.76,3.2121,12.04,1390,130.8
166,train,3.4678,0.2341,6.76,3.8035,7.89,1380,131.6
167,train,4.6088,0.0677,13.97,4.4512,12.03,1374,132.3
168,train,3.3269,0.2022,7.63,2.8554,7.64,1335,133.1
169,train,4.7163,0.0542,12.68,4.2325,8.92,1310,133.9
170,train,3.4941,0.0439,11.96,3.1569,15.30,1366,134.6
171,train,3.3429,0.0397,7.85,3.3867,4.71,1360,135.4
172,train,3.8082,0.0738,11.44,3.5618,10.18,1382,136.2
173,train,3.4904,0.1190,7.55,3.4993,7.30,1336,136.9
174,train,3.7214,0.1224,9.59,3.7149,8.07,1364,137.7
175,train,3.5088,0.1405,7.07,3.2618,6.82,1324,138.5
176,train,3.2563,0.1476,6.58,3.1345,5.95,1470,139.2
177,train,3.1165,0.1391,7.25,3.3245,9.09,1366,140.0
