step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec
240,train,4.6635,0.0638,9.00,4.5321,6.85,784,141.3
241,train,2.7179,0.4324,2.15,2.4810,2.00,784,141.8
242,train,5.5454,0.0829,12.65,5.0070,11.46,784,142.4
243,train,3.7042,0.1314,8.90,4.0505,8.82,784,142.9
244,train,3.2300,0.0625,3.36,3.1671,3.12,784,143.5
245,train,3.0268,0.1607,7.03,2.3712,1.00,784,144.0
246,train,4.3426,0.0077,7.14,3.4650,4.53,784,144.5
247,train,2.9369,0.3023,4.16,3.0274,5.62,784,145.0
248,train,4.4118,0.1186,7.42,4.2866,6.20,784,145.6
249,train,3.2032,0.2436,8.12,3.4019,6.73,784,146.1
250,train,5.2099,0.0230,11.46,5.3824,11.46,784,146.6
251,train,3.2273,0.2092,5.76,3.3955,6.48,784,147.2
252,train,3.9428,0.0242,6.50,3.0537,2.83,784,147.7
253,train,5.0870,0.0140,21.11,4.6399,23.42,784,148.2
254,train,4.5344,0.0408,12.77,4.5963,13.88,784,148.7
255,train,4.2546,0.0727,8.31,3.8734,11.83,784,149.4
256,train,5.1051,0.0523,9.66,4.2191,7.24,784,149.9
257,train,4.2084,0.1875,4.87,3.6629,4.81,784,150.6
258,train,3.8496,0.1033,4.25,3.1819,1.50,784,151.3
259,train,3.7159,0.2819,6.89,3.5848,8.57,784,151.9
260,train,3.1658,0.1390,3.60,2.9550,2.83,784,152.4
261,train,4.3538,0.0421,7.81,3.6058,4.71,784,153.0
262,train,2.4176,0.2245,2.16,2.2583,1.71,784,153.5
263,train,4.2610,0.1378,8.33,3.5311,7.71,784,154.0
264,train,2.5959,0.2883,3.62,2.2838,3.55,784,154.6
265,train,3.6113,0.1148,8.31,2.9889,8.22,784,155.1
266,train,4.5709,0.2372,10.19,4.0242,9.26,784,155.7
267,train,5.2973,0.0140,11.58,4.9609,9.54,784,156.4
268,train,3.6372,0.3112,4.04,3.8646,4.17,784,156.9
269,train,4.0590,0.0268,5.85,4.0245,6.12,784,157.4
270,train,4.3094,0.1862,10.11,4.6168,10.65,784,158.0
271,train,5.3824,0.0064,9.47,4.9195,9.44,784,158.5
272,train,4.5622,0.0268,8.11,3.7349,7.62,784,159.0
273,train,1.5283,0.4566,1.22,1.7848,2.21,784,159.6
274,train,4.1487,0.0128,12.82,3.6639,12.67,784,160.4
275,train,3.1617,0.1569,4.78,2.8192,1.21,784,160.9
276,train,3.9004,0.1161,6.29,3.2259,3.50,784,161.5
277,train,4.1165,0.1901,11.02,3.9268,13.90,784,162.1
278,train,2.9181,0.3074,4.20,2.2226,1.00,784,162.7
279,train,5.1681,0.0612,10.29,4.5855,8.71,784,163.2
280,train,3.6615,0.1798,6.48,2.7421,6.91,784,163.8
281,train,3.8645,0.1110,9.79,3.1751,8.14,784,164.3
282,train,5.7793,0.0064,14.75,5.4008,14.12,784,164.9
283,train,5.9601,0.0408,17.85,5.8442,18.49,784,165.4
284,train,3.7930,0.0625,4.87,2.4684,5.00,784,165.9
285,train,4.5937,0.0969,7.57,4.7425,8.76,784,166.5
286,train,3.9965,0.1811,7.30,3.2203,3.54,784,167.0
287,train,4.6281,0.0714,10.11,4.6188,12.32,784,167.6
288,train,3.4021,0.0663,3.89,2.2302,4.00,784,168.1
289,train,1.9200,0.3559,1.60,1.5959,1.21,784,168.6
290,train,4.2852,0.0434,5.25,3.6522,5.62,784,169.1
291,train,3.7982,0.0191,9.38,3.5504,7.41,784,169.7
292,train,3.5197,0.1097,6.07,3.1270,6.00,784,170.4
