step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec,vce_m,vce_pose_m
140,train,4.2098,0.1046,8.07,3.4852,6.97,1568,110.7,nan,nan
141,train,3.5321,0.1346,5.97,3.0585,6.28,1568,111.5,nan,nan
142,train,4.5225,0.0727,9.32,4.6754,9.94,1568,112.2,nan,nan
143,train,4.4827,0.1142,6.61,4.0670,5.37,1568,113.0,nan,nan
144,train,4.1534,0.1059,5.51,3.7723,4.12,1568,113.8,nan,nan
145,train,5.1197,0.0287,10.19,4.4352,10.26,1568,114.5,nan,nan
146,train,4.5375,0.0364,6.13,4.7523,5.89,1568,115.3,nan,nan
147,train,4.9033,0.0427,9.95,4.9932,12.52,1568,116.1,nan,nan
148,train,4.2709,0.0625,7.36,4.1068,8.85,1568,116.9,nan,nan
149,train,3.7605,0.0957,6.93,3.6564,7.39,1568,117.6,nan,nan
150,train,3.8589,0.1448,4.00,3.3795,3.98,1568,118.4,nan,nan
151,train,4.6055,0.1301,9.69,4.6441,10.86,1568,119.2,nan,nan
152,train,4.3683,0.0708,7.09,4.1066,7.46,1568,119.9,nan,nan
153,train,3.9622,0.1001,5.38,3.6108,4.81,1568,120.7,nan,nan
154,train,4.7790,0.0899,8.79,4.5779,8.04,1568,121.5,nan,nan
155,train,4.1913,0.0727,5.17,3.9651,4.61,1568,122.2,nan,nan
156,train,4.7886,0.0606,9.30,4.0187,8.93,1568,123.0,nan,nan
157,train,3.8282,0.1161,5.62,3.1796,3.66,1568,123.8,nan,nan
158,train,5.1614,0.0210,11.48,4.9420,10.97,1568,124.5,nan,nan
159,train,3.6285,0.1020,4.12,3.5202,2.71,1568,125.3,nan,nan
160,train,6.2031,0.0230,15.62,5.8862,17.00,1568,126.1,nan,nan
161,train,3.4075,0.1352,3.77,2.8864,3.27,1568,126.8,nan,nan
162,train,4.1281,0.0906,7.36,3.9474,6.51,1568,127.6,nan,nan
163,train,4.0522,0.0415,6.32,3.8679,7.35,1568,128.4,nan,nan
164,train,3.5912,0.1237,6.29,3.1610,2.93,1568,129.1,nan,nan
165,train,4.3612,0.1008,7.41,3.9842,7.40,1568,129.9,nan,nan
166,train,5.4008,0.0427,11.68,5.2693,11.74,1568,130.7,nan,nan
167,train,4.2331,0.1429,5.71,4.0654,4.81,1568,131.4,nan,nan
168,train,4.9658,0.0344,9.44,4.4633,7.62,1568,132.2,nan,nan
169,train,4.2043,0.1059,6.11,4.1655,5.56,1568,133.0,nan,nan
170,train,4.4722,0.0644,8.06,3.7774,5.71,1568,133.8,nan,nan
171,train,3.7298,0.1186,5.13,3.1585,4.48,1568,134.5,nan,nan
