step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec
237,train,3.3021,0.1574,8.49,3.1704,8.72,1487,186.5
238,train,3.6831,0.0779,8.66,3.6650,9.83,1335,187.3
239,train,3.8026,0.0963,10.81,3.6390,10.88,1381,188.0
240,train,4.3136,0.0395,14.47,4.1520,16.08,1342,188.8
241,train,4.2189,0.0447,10.57,3.6311,9.08,1297,189.6
242,train,3.1480,0.0783,6.97,3.1181,5.73,1456,190.4
243,train,3.7530,0.0370,10.83,2.6850,5.66,1353,191.1
244,train,3.8231,0.0745,10.48,4.0425,12.68,1329,191.9
245,train,4.0202,0.1523,12.17,4.0580,11.77,1300,192.7
246,train,3.7792,0.0807,14.37,3.2545,10.56,1264,193.4
247,train,3.7761,0.0906,9.59,3.7228,9.40,1292,194.2
248,train,3.5687,0.1083,9.74,3.1286,6.31,1283,195.0
249,train,3.8544,0.0717,11.36,4.1871,13.01,1352,195.8
250,train,3.6025,0.1045,8.99,3.2892,10.60,1340,196.5
251,train,4.2630,0.0467,11.97,4.1425,11.54,1329,197.3
252,train,3.7502,0.0762,8.93,3.9820,6.93,1300,198.1
253,train,3.3317,0.0890,8.84,3.2673,12.01,1460,198.8
254,train,4.8549,0.0316,17.82,4.6852,20.29,1329,199.6
255,train,3.7429,0.0658,11.37,3.6724,11.86,1444,200.4
256,train,3.0205,0.1751,7.61,2.4965,6.39,1342,201.1
257,train,3.4896,0.1021,9.11,3.2423,10.74,1391,201.9
258,train,3.8111,0.1103,8.28,3.9644,9.39,1442,202.7
259,train,3.9348,0.0298,11.91,3.8359,11.83,1374,203.5
260,train,4.0618,0.0616,11.46,3.7555,13.34,1363,204.2
261,train,2.9339,0.1781,8.03,3.0315,9.02,1308,205.0
262,train,3.6182,0.1434,11.16,3.5823,12.11,1353,205.8
263,train,3.6231,0.0934,12.85,3.2559,13.15,1403,206.5
264,train,3.5981,0.1196,11.35,3.4546,13.20,1363,207.3
265,train,3.2339,0.0740,6.38,2.7896,3.83,1324,208.1
266,train,3.3510,0.0864,7.94,3.2652,10.01,1446,208.9
267,train,3.5406,0.1624,9.13,3.7709,8.50,1404,209.6
268,train,2.7876,0.1378,5.92,2.2460,2.83,1408,210.4
269,train,4.1815,0.0498,11.26,3.9999,13.93,1365,211.2
270,train,3.5573,0.0955,10.56,3.0757,11.56,1299,211.9
271,train,4.1576,0.0312,11.29,4.0504,11.69,1442,212.7
272,train,3.6478,0.1299,10.87,3.7191,15.25,1278,213.5
273,train,3.6907,0.0848,10.27,3.8623,9.74,1404,214.3
274,train,3.4480,0.1167,8.08,3.0377,9.98,1388,215.0
275,train,3.7142,0.1254,9.43,3.8287,7.35,1404,215.8
276,train,3.5165,0.0893,8.03,3.0830,6.45,1332,216.6
277,train,2.7742,0.3003,7.59,2.5016,6.62,1445,217.3
278,train,4.4505,0.0271,14.60,4.6567,15.61,1367,218.1
279,train,3.7651,0.0878,12.97,3.6981,13.89,1332,218.9
280,train,3.6204,0.0928,10.39,3.3487,11.16,1422,219.7
281,train,3.0327,0.2059,5.94,2.9680,6.79,1418,220.4
282,train,2.8627,0.1965,5.12,2.7403,3.24,1298,221.2
283,train,3.7623,0.0766,12.18,3.0675,14.62,1254,222.0
284,train,3.0893,0.1083,7.69,2.6431,5.77,1404,222.7
285,train,2.7500,0.2468,4.79,2.2372,3.50,1418,223.5
286,train,3.7344,0.1840,11.93,3.1536,10.74,1261,224.3
287,train,3.7247,0.0788,8.45,3.3681,8.54,1485,225.0
288,train,3.2656,0.1935,7.92,3.0065,8.35,1380,225.8
289,train,3.5441,0.0858,12.59,3.6019,16.86,1317,226.6
290,train,2.9090,0.2251,5.75,2.5934,4.94,1337,227.4
291,train,3.5774,0.1734,9.18,3.4237,8.70,1384,228.1
292,train,4.0386,0.0270,10.88,4.0182,12.33,1445,228.9
293,train,3.6981,0.0541,9.39,3.5857,8.36,1275,229.7
294,train,2.6895,0.2013,5.37,2.4027,5.06,1376,230.4
295,train,3.6751,0.0965,10.43,3.5072,10.07,1420,231.2
296,train,3.7412,0.1366,10.21,3.5690,9.48,1420,232.0
297,train,3.5404,0.1081,11.50,3.0646,9.67,1314,232.8
298,train,3.5224,0.1341,10.22,4.0069,13.27,1350,233.5
299,train,3.7481,0.0754,7.93,3.7975,8.10,1445,234.3
300,train,3.8995,0.0774,10.73,3.2079,11.06,1318,235.1
301,train,3.0194,0.1644,6.29,2.8265,5.41,1338,235.8
302,train,3.7223,0.1037,11.60,3.3817,11.15,1340,236.6
303,train,3.4874,0.1687,7.99,3.5494,8.45,1316,237.4
304,train,3.4131,0.0631,8.12,3.3381,6.74,1459,238.2
305,train,3.7441,0.1148,11.98,3.6475,15.18,1289,238.9
306,train,3.7321,0.0489,9.32,3.3944,10.81,1392,239.7
307,train,4.0524,0.0818,10.37,4.3031,11.42,1344,240.5
308,train,2.9841,0.2115,6.22,2.4511,5.18,1338,241.2
309,train,3.1406,0.1432,6.63,2.8732,7.20,1390,242.0
310,train,4.1112,0.0316,12.67,3.7338,11.86,1394,242.8
311,train,4.3690,0.0606,12.91,4.0312,14.69,1420,243.5
312,train,2.9504,0.1881,7.23,2.9384,7.04,1393,244.3
313,train,3.8603,0.1339,11.68,4.0776,12.94,1314,245.1
314,train,3.9755,0.0196,10.88,3.7151,14.25,1379,245.9
315,train,3.1153,0.0872,7.37,2.7930,5.85,1456,246.6
316,train,3.9026,0.0850,10.66,3.7168,10.69,1471,247.4
317,train,2.7977,0.2613,4.82,3.0692,6.28,1443,248.2
318,train,3.4306,0.0718,9.27,3.4277,10.03,1392,248.9
319,train,3.6151,0.0691,8.73,3.3802,10.12,1390,249.7
320,train,4.2839,0.0981,13.25,4.2480,17.36,1285,250.5
321,train,3.1328,0.1143,7.56,2.9074,5.41,1338,251.3
322,train,2.9037,0.1566,6.51,2.8470,4.83,1392,252.0
323,train,3.4896,0.0850,10.17,3.2204,9.30,1364,252.8
324,train,3.8258,0.0555,11.01,3.1445,11.36,1405,253.6
325,train,3.3287,0.0728,6.53,2.7697,3.12,1374,254.3
326,train,2.7380,0.1663,5.05,2.5760,3.91,1389,255.1
327,train,3.5015,0.0739,8.52,3.6430,8.42,1353,255.9
328,train,4.3926,0.0329,13.35,4.6393,16.36,1457,256.6
329,train,3.7543,0.0860,10.14,3.5863,7.12,1361,257.4
330,train,3.1909,0.2480,9.52,3.1566,9.08,1375,258.2
331,train,3.0360,0.1144,8.02,2.8694,7.69,1442,259.0
332,train,3.4180,0.1370,7.74,2.6186,4.50,1350,259.7
333,train,3.3813,0.1915,10.06,3.2665,9.18,1363,260.5
334,train,2.9301,0.2163,6.31,2.5461,3.21,1456,261.3
335,train,3.7838,0.0648,9.98,3.3555,8.40,1311,262.0
336,train,4.0480,0.1488,13.97,3.5446,8.12,1230,262.8
337,train,3.3081,0.1263,8.01,2.8489,6.11,1409,263.6
338,train,3.5008,0.0458,12.01,3.9422,14.81,1442,264.3
339,train,3.3023,0.1763,9.09,3.1444,10.90,1390,265.1
340,train,3.3681,0.0762,8.43,3.1359,7.92,1299,265.9
341,train,4.3767,0.0135,15.11,3.8589,13.03,1337,266.7
342,train,3.5125,0.0947,9.83,3.2620,7.76,1394,267.4
343,train,3.5120,0.0761,9.45,3.3005,7.62,1420,268.2
344,train,3.2831,0.0677,8.05,2.8683,8.21,1417,269.0
345,train,2.7943,0.2977,5.75,2.1543,6.31,1310,269.7
346,train,3.8210,0.1073,11.32,3.5630,11.98,1407,270.5
347,train,3.6127,0.1222,9.58,3.4984,8.64,1375,271.3
348,train,4.0344,0.0340,10.93,3.9071,10.70,1382,272.1
349,train,3.7597,0.1477,9.31,3.5611,7.77,1327,272.8
350,train,4.0495,0.0262,12.74,3.8608,14.16,1410,273.6
351,train,2.7506,0.2427,5.90,3.1352,6.74,1368,274.4
352,train,3.2683,0.2409,9.20,3.3277,9.12,1262,275.1
353,train,3.1271,0.1650,7.90,2.8909,6.91,1339,275.9
354,train,3.7490,0.0922,9.17,3.3323,7.52,1389,276.7
355,train,4.0302,0.0483,9.66,3.9066,9.95,1512,277.5
356,train,3.6523,0.0820,9.18,4.5271,10.74,1366,278.2
357,train,3.7265,0.1208,8.77,3.0297,4.42,1291,279.0
358,train,3.5850,0.1494,8.26,3.4092,9.64,1392,279.8
359,train,3.5009,0.0887,8.72,3.0913,7.53,1262,280.5
360,train,3.9984,0.0133,10.71,3.7687,11.16,1354,281.3
361,train,2.8119,0.2199,5.47,3.0869,7.45,1364,282.1
362,train,3.5913,0.0333,9.84,3.6858,11.28,1350,282.8
363,train,3.2183,0.1056,7.28,2.8644,4.24,1364,283.6
364,train,3.2404,0.1543,7.18,2.8027,5.70,1335,284.4
365,train,3.9925,0.0719,14.90,4.2994,17.97,1363,285.2
366,train,2.9771,0.1021,5.44,2.7618,3.12,1322,285.9
367,train,4.1181,0.1003,14.38,3.8646,14.46,1276,286.7
368,train,3.2009,0.2326,7.63,2.9857,8.48,1380,287.5
369,train,3.1585,0.1884,7.28,3.2127,10.67,1470,288.2
370,train,3.5231,0.1072,8.02,3.2098,6.54,1418,289.0
371,train,3.9895,0.0283,11.65,4.1661,13.60,1377,289.8
372,train,3.3586,0.0705,8.45,3.6025,8.86,1390,290.6
373,train,3.1015,0.1834,6.61,3.5596,7.49,1418,291.3
374,train,3.5708,0.1349,7.83,3.3900,7.71,1445,292.1
375,train,3.5683,0.0843,10.87,3.4034,9.42,1376,292.9
376,train,3.5650,0.1095,9.49,3.1707,8.54,1333,293.6
377,train,3.4197,0.0789,10.25,3.1154,8.05,1369,294.4
378,train,2.9087,0.1373,6.15,2.3650,6.05,1377,295.2
379,train,3.2778,0.0245,7.76,3.3463,8.30,1389,296.0
380,train,3.0942,0.1776,8.40,3.1894,13.69,1402,296.7
381,train,3.5735,0.1225,8.68,3.4340,7.95,1339,297.5
382,train,4.1095,0.0761,13.23,4.6494,14.48,1379,298.3
383,train,3.5844,0.1129,8.90,3.6118,8.82,1390,299.0
384,train,3.5066,0.1342,10.67,3.3637,10.90,1326,299.8
385,train,2.8895,0.2478,6.30,2.7368,6.33,1376,300.6
386,train,3.3241,0.0760,8.10,3.3959,8.80,1315,301.4
387,train,3.4336,0.1246,9.15,2.7174,9.24,1389,302.1
388,train,4.1053,0.1288,12.22,3.5122,10.94,1266,302.9
389,train,3.2147,0.1376,7.27,3.3181,5.53,1432,303.7
390,train,3.6284,0.0861,9.10,3.8930,10.65,1499,304.4
391,train,3.3745,0.0678,9.47,3.3229,14.23,1402,305.2
392,train,2.6159,0.1491,4.51,2.4256,4.12,1442,306.0
393,train,2.9098,0.1823,5.15,3.4344,6.70,1470,306.7
394,train,3.6694,0.1233,8.19,3.3712,8.11,1460,307.5
395,train,4.4594,0.0688,15.86,4.4738,17.78,1352,308.3
396,train,3.8121,0.0799,9.71,3.9246,8.80,1376,309.1
397,train,3.4610,0.1124,7.81,3.6201,9.68,1343,309.8
398,train,3.5008,0.0765,7.87,3.5203,7.85,1516,310.6
399,train,3.1722,0.1972,7.81,3.1470,9.62,1405,311.4
400,train,3.4750,0.1962,6.24,3.6208,7.30,1371,312.1
401,train,3.3922,0.1945,10.04,3.3487,11.01,1316,312.9
