step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec
126,train,2.9791,0.3120,7.38,4.4208,10.66,702,68.7
127,train,3.0578,0.1924,6.37,4.6626,12.00,686,69.2
128,train,4.1067,0.0883,12.84,4.7041,12.07,770,69.8
129,train,4.2726,0.0468,14.43,4.7904,16.98,662,70.3
130,train,3.5828,0.0714,10.22,4.3907,13.31,756,70.8
131,train,3.7965,0.0807,7.95,4.1668,7.48,756,71.3
132,train,3.8818,0.0766,12.12,4.2152,11.02,770,71.9
133,train,3.3503,0.0628,6.55,4.5186,12.25,716,72.4
134,train,3.7866,0.0739,8.46,4.5456,13.46,690,72.9
135,train,3.1715,0.1182,6.25,4.3884,14.26,702,73.5
136,train,3.9590,0.0349,9.63,4.3894,9.30,744,74.0
137,train,3.8766,0.1337,10.31,4.6320,13.68,718,74.6
138,train,3.9427,0.0162,9.92,4.5273,9.34,678,75.1
139,train,4.1266,0.0646,11.31,4.4936,13.72,728,75.6
140,train,4.0360,0.0476,11.04,4.4141,15.12,714,76.2
141,train,3.6807,0.1132,9.82,4.5981,16.30,742,76.7
142,train,3.0471,0.1411,6.57,4.2782,10.84,730,77.2
143,train,3.3277,0.0810,7.23,4.1859,13.48,728,77.8
144,train,3.4304,0.1061,7.62,4.0546,9.75,716,78.3
145,train,5.0480,0.0148,15.03,5.2223,16.32,676,78.8
146,train,4.1725,0.0641,10.88,4.4371,4.41,718,79.3
147,train,3.6173,0.1667,8.11,4.3007,9.71,714,79.9
148,train,3.5164,0.1159,10.70,4.3548,13.57,742,80.4
149,train,3.0894,0.1285,5.67,4.2089,8.00,716,80.9
150,train,3.7379,0.1111,10.33,4.2626,10.57,756,81.4
151,train,3.5621,0.0608,7.27,4.0215,8.71,756,82.0
152,train,4.4093,0.0476,14.38,4.6636,15.44,756,82.5
153,train,4.1932,0.0243,11.59,4.2172,7.06,742,83.0
154,train,3.4953,0.0486,10.20,4.3033,11.41,700,83.6
155,train,4.2901,0.0220,12.91,4.6883,11.10,728,84.1
156,train,3.9279,0.2244,12.26,4.7114,10.82,704,84.7
157,train,3.1223,0.1366,7.21,4.1626,13.40,688,85.2
158,train,4.5815,0.0391,10.00,4.9060,13.24,716,85.8
159,train,3.1638,0.0377,6.23,4.4111,12.85,716,86.3
160,train,3.2732,0.1321,6.93,3.9578,8.40,742,86.8
161,train,3.1347,0.2174,8.48,4.5848,13.58,690,87.3
162,train,4.0174,0.0504,12.03,4.4666,11.91,714,87.9
163,train,3.1191,0.2431,6.37,3.9969,8.77,757,88.4
164,train,2.5933,0.2309,4.55,3.9252,6.41,784,88.9
165,train,4.6451,0.0256,11.55,4.5632,11.89,742,89.5
166,train,2.5673,0.2685,5.30,4.0267,9.02,756,90.0
167,train,4.0523,0.0434,12.35,4.1118,6.06,714,90.5
168,train,2.9676,0.1919,6.92,4.1257,12.45,714,91.1
169,train,2.7623,0.1978,4.33,3.8610,6.24,743,91.6
170,train,3.8286,0.1190,11.28,4.6815,12.71,714,92.1
171,train,3.7600,0.0687,10.12,4.7965,14.33,728,92.7
172,train,4.5910,0.0526,15.24,4.6535,18.18,703,93.2
173,train,3.4178,0.1119,7.36,4.3236,10.94,742,93.7
174,train,4.2377,0.0869,12.93,4.6852,11.72,702,94.2
175,train,2.9712,0.1692,6.07,4.0767,10.49,715,94.8
176,train,4.0238,0.0781,12.23,4.5018,14.05,704,95.3
177,train,4.0423,0.0323,11.97,4.5747,13.52,742,95.9
178,train,3.0227,0.1356,5.99,3.9149,8.83,730,96.4
179,train,3.3213,0.0273,6.61,3.9811,9.97,770,96.9
180,train,4.2032,0.0267,10.40,4.6873,13.48,674,97.5
181,train,3.7391,0.1313,9.72,4.2926,10.69,716,98.0
182,train,4.5909,0.0075,13.95,4.7025,13.37,663,98.6
183,train,4.1544,0.0451,10.27,4.8105,14.12,688,99.1
184,train,3.8868,0.1148,10.07,4.1494,8.71,714,99.6
185,train,3.8876,0.0794,9.23,4.1174,8.24,756,100.2
186,train,4.5199,0.0486,12.04,4.4953,15.34,700,100.7
187,train,3.6406,0.0786,6.94,4.4846,12.73,687,101.3
188,train,3.7323,0.0979,10.01,4.0872,7.47,756,101.8
189,train,4.0268,0.0893,10.30,4.3259,11.70,728,102.3
190,train,3.3253,0.1182,8.73,3.8443,7.41,702,102.9
191,train,2.7864,0.1565,4.85,3.4960,6.65,690,103.4
192,train,3.6003,0.0728,8.34,3.7781,8.36,728,103.9
193,train,2.7542,0.2434,6.01,3.4813,8.12,756,104.5
194,train,4.0001,0.0641,12.49,4.1974,12.47,702,105.0
195,train,3.1980,0.1389,7.14,3.7296,8.54,756,105.6
196,train,3.9649,0.1426,8.38,4.0662,9.63,652,106.1
197,train,5.1437,0.0906,13.32,5.4793,17.03,662,106.6
198,train,4.3207,0.0556,15.28,4.4382,16.08,702,107.1
199,train,3.5026,0.0912,8.42,3.3570,6.99,702,107.7
200,train,3.1531,0.2109,9.01,3.5819,8.50,678,108.2
201,train,3.4781,0.0905,8.72,3.3305,9.08,729,108.7
202,train,3.1473,0.0517,6.74,2.9201,3.83,715,109.3
203,train,3.2117,0.2507,10.57,3.3586,10.69,690,109.8
204,train,3.4770,0.1566,8.80,3.5650,7.41,728,110.3
205,train,4.3716,0.1928,9.14,3.7613,9.66,664,110.9
206,train,3.8580,0.0808,8.03,3.6724,7.40,743,111.4
207,train,3.8268,0.0462,9.55,3.6905,12.00,757,111.9
208,train,3.2135,0.1675,6.17,3.0207,5.16,770,112.4
209,train,3.2866,0.1914,8.10,3.2670,9.91,700,113.0
210,train,4.2968,0.0616,13.49,4.2907,10.66,714,113.5
211,train,3.2778,0.2029,9.26,2.9941,7.10,700,114.0
212,train,3.9076,0.1005,9.48,4.1827,11.02,756,114.5
213,train,2.7427,0.2157,6.68,2.5856,9.83,714,115.1
214,train,3.3521,0.1301,7.51,3.0665,6.24,730,115.6
215,train,2.5327,0.2905,4.64,2.7384,5.00,716,116.2
216,train,2.5405,0.3604,3.82,2.6007,3.83,702,116.7
217,train,3.1993,0.1321,8.97,2.8966,11.16,704,117.2
218,train,3.5925,0.0608,11.03,3.5053,12.06,756,117.8
219,train,3.0726,0.2033,7.14,3.6319,9.02,728,118.3
220,train,4.4371,0.0385,16.27,4.6032,17.58,702,118.8
221,train,4.0222,0.1004,12.94,4.5651,14.83,677,119.3
222,train,3.4348,0.0878,7.99,2.6637,5.00,729,119.9
223,train,3.6080,0.2090,7.13,3.3110,7.41,756,120.4
224,train,3.8712,0.1860,12.01,4.5392,16.41,742,120.9
225,train,4.6683,0.0044,17.36,4.8274,17.21,680,121.4
226,train,3.4870,0.0501,8.46,2.8677,4.58,718,122.0
227,train,3.3885,0.1267,7.88,3.4944,6.16,742,122.5
228,train,3.6936,0.0742,10.51,3.3356,10.50,728,123.1
229,train,3.1464,0.1580,7.49,2.8567,7.12,728,123.6
230,train,3.7617,0.0426,8.93,2.9701,6.47,728,124.1
231,train,2.8247,0.3162,4.93,2.8242,3.65,718,124.7
232,train,3.4506,0.0532,7.64,3.6693,8.74,770,125.2
233,train,3.6906,0.0701,9.95,3.5117,9.10,770,125.7
234,train,2.7023,0.1304,4.95,2.7276,6.00,744,126.2
235,train,4.2780,0.0330,12.02,4.0442,10.50,728,126.8
236,train,4.1824,0.0328,13.57,3.9919,10.43,701,127.3
237,train,2.6425,0.2183,4.27,2.4875,4.41,756,127.8
238,train,2.5143,0.2102,4.21,2.1425,2.00,728,128.4
239,train,3.6639,0.0997,7.99,3.7308,7.24,742,128.9
240,train,3.1177,0.0957,6.89,3.0069,6.24,742,129.4
241,train,2.7965,0.0836,5.40,2.7431,5.41,742,130.0
242,train,3.0444,0.3023,5.62,2.7331,3.16,688,130.5
243,train,3.2723,0.1479,7.18,2.6338,4.65,730,131.0
244,train,4.6526,0.0341,13.73,4.6389,13.25,704,131.5
245,train,3.1950,0.1246,7.31,2.9131,4.41,714,132.1
246,train,3.9553,0.1024,10.04,3.6781,9.25,674,132.7
247,train,3.3445,0.1134,9.37,3.5332,15.24,688,133.2
248,train,4.4895,0.1081,14.43,4.0632,12.44,703,133.7
249,train,3.7909,0.0890,8.24,3.7307,7.02,663,134.3
250,train,3.4709,0.0406,8.16,3.3098,7.83,689,134.8
251,train,2.9380,0.1866,8.07,3.1224,7.36,702,135.3
252,train,2.6783,0.2692,5.44,2.9763,6.24,702,135.8
253,train,3.6900,0.0299,8.42,3.0154,7.16,703,136.4
254,train,3.0709,0.1844,6.84,3.8398,7.66,770,136.9
255,train,3.5772,0.1725,7.73,2.8582,6.41,690,137.4
256,train,3.2867,0.0637,8.30,2.8026,9.50,675,137.9
257,train,3.0516,0.1298,5.72,2.2708,3.41,701,138.5
258,train,3.0417,0.2338,8.05,3.0412,7.41,770,139.0
259,train,3.5337,0.1792,7.70,3.9755,9.30,742,139.5
260,train,3.5362,0.1048,9.28,3.0563,5.47,744,140.0
261,train,4.2764,0.0647,12.57,4.1737,16.16,742,140.6
262,train,3.2623,0.1307,9.70,2.8689,7.93,742,141.1
263,train,3.3465,0.0425,7.05,3.0465,5.24,730,141.6
264,train,4.0859,0.0152,13.21,4.0419,12.00,660,142.1
265,train,3.3695,0.0510,7.68,3.1719,9.24,686,142.7
266,train,2.7658,0.2992,6.98,2.2748,6.00,742,143.2
267,train,2.2311,0.2597,4.02,1.7594,2.00,770,143.7
268,train,3.5111,0.1939,9.83,3.5516,6.89,660,144.3
269,train,3.8702,0.0671,10.51,3.7429,7.16,700,144.8
270,train,3.4119,0.2805,8.39,3.5739,11.54,688,145.4
271,train,4.2451,0.0426,9.54,4.4984,10.96,704,145.9
272,train,3.9505,0.0907,11.32,4.1393,10.16,728,146.4
273,train,4.2230,0.0469,12.51,3.7438,10.69,704,147.0
274,train,4.1750,0.0182,11.77,3.5392,11.32,770,147.5
275,train,2.5513,0.2072,4.88,2.5775,4.65,690,148.1
276,train,3.6062,0.0700,10.06,3.0095,6.41,714,148.6
277,train,3.1555,0.1143,7.78,2.4275,7.00,700,149.1
278,train,3.5984,0.1131,9.11,3.6110,8.21,716,149.7
279,train,3.3576,0.1628,8.04,3.1159,8.51,688,150.2
280,train,2.4822,0.3338,7.13,2.9489,11.89,716,150.7
281,train,2.6055,0.2436,4.49,2.9158,5.65,743,151.3
282,train,3.2339,0.0916,6.08,2.4064,3.83,742,151.8
283,train,3.1493,0.2090,8.55,3.0824,7.00,756,152.3
284,train,3.9452,0.1864,9.58,3.9823,9.00,676,152.8
285,train,3.3205,0.1578,7.40,2.0248,6.00,716,153.4
286,train,3.6662,0.0279,7.92,3.6583,5.83,716,153.9
287,train,3.0954,0.1346,6.35,2.6105,5.61,728,154.4
288,train,3.4600,0.1612,7.72,3.2818,6.24,701,155.0
289,train,3.4334,0.1339,8.42,3.5127,5.65,717,155.5
290,train,2.6235,0.1717,5.84,2.6517,3.83,728,156.0
291,train,4.8017,0.0329,15.14,4.7842,17.59,729,156.6
292,train,3.7359,0.2047,9.22,3.7610,9.34,728,157.1
293,train,3.1825,0.1124,7.34,2.6390,6.83,676,157.6
294,train,2.3278,0.1968,3.94,2.2195,3.41,742,158.2
295,train,3.5173,0.1346,11.19,3.1260,7.54,728,158.7
296,train,4.4062,0.0060,12.04,4.0712,8.95,664,159.2
297,train,3.8048,0.0066,11.92,3.5418,17.13,756,159.7
298,train,3.8224,0.0586,12.03,3.5044,12.47,700,160.3
299,train,4.2856,0.0974,12.96,3.7780,18.50,729,160.8
300,train,3.3464,0.0498,10.76,3.0118,9.69,703,161.4
301,train,3.0914,0.1943,7.59,3.0473,6.24,700,161.9
302,train,3.2770,0.1047,7.36,3.8172,10.61,678,162.4
303,train,3.2518,0.0860,7.84,3.3353,8.83,756,162.9
304,train,2.3637,0.1265,4.62,2.0464,3.00,688,163.5
305,train,2.5744,0.1543,4.83,2.3494,4.83,687,164.0
306,train,4.1521,0.0251,15.65,4.0935,16.90,716,164.5
307,train,3.5853,0.0688,8.67,3.0666,7.47,770,165.0
308,train,2.7663,0.1550,6.99,3.0890,7.16,716,165.6
309,train,4.0124,0.1924,9.48,3.7647,9.39,686,166.1
310,train,2.7016,0.3459,6.07,2.9961,10.49,714,166.6
311,train,3.4364,0.0453,9.13,2.8802,6.00,728,167.2
312,train,3.0542,0.2734,6.34,3.3794,10.47,728,167.7
313,train,3.6572,0.0495,10.00,3.7906,10.89,728,168.3
314,train,2.5118,0.2385,4.84,2.0247,2.00,742,168.8
315,train,4.2497,0.0608,11.74,4.4384,11.36,756,169.3
316,train,3.7943,0.1190,10.05,3.2721,11.00,756,169.9
317,train,2.6422,0.2043,5.34,2.4835,3.83,700,170.4
318,train,3.7494,0.1427,9.31,4.4060,8.29,757,170.9
319,train,2.8577,0.1648,5.16,2.3180,3.24,728,171.5
320,train,2.0950,0.3827,4.92,2.6403,4.00,742,172.0
321,train,2.9053,0.2712,5.17,2.0194,3.00,612,172.5
322,train,2.9324,0.1199,5.77,3.1056,5.06,742,173.1
323,train,3.3894,0.1456,8.93,3.3053,7.10,742,173.6
324,train,3.0575,0.1636,8.69,2.7487,8.00,770,174.1
325,train,2.4563,0.2606,3.55,2.3407,1.41,756,174.7
326,train,2.9255,0.2019,6.69,2.7077,5.41,728,175.2
327,train,2.8183,0.1538,6.78,2.4846,5.24,728,175.7
328,train,3.4840,0.1368,10.21,3.3681,11.00,702,176.2
329,train,2.5717,0.2311,4.89,2.7612,4.41,714,176.8
330,train,4.8734,0.0726,13.77,5.6293,14.64,702,177.3
331,train,3.1508,0.1140,6.80,2.9334,5.65,728,177.8
332,train,2.3028,0.2102,4.12,2.0880,4.00,742,178.4
333,train,2.7020,0.2395,6.61,2.1436,3.41,689,178.9
334,train,2.6107,0.2572,4.78,2.1693,4.00,692,179.4
335,train,3.1678,0.1699,6.15,3.1344,4.24,730,180.0
336,train,2.5768,0.1725,4.87,1.9168,2.41,742,180.5
337,train,2.9327,0.2336,7.97,2.3101,3.24,702,181.0
338,train,3.4874,0.0234,12.82,2.8648,11.02,728,181.5
339,train,3.1635,0.2365,7.83,3.8800,9.24,702,182.1
340,train,3.1731,0.1403,8.94,3.2241,12.07,770,182.6
341,train,1.9188,0.3087,3.27,1.8092,3.83,784,183.1
342,train,3.9818,0.0606,8.61,3.4982,6.65,742,183.7
343,train,4.0537,0.0512,10.81,3.4189,9.29,664,184.2
344,train,2.9467,0.0852,6.33,2.5625,4.65,716,184.7
345,train,4.3013,0.0275,15.36,4.1536,14.58,728,185.2
346,train,3.3919,0.1938,9.92,3.4098,12.34,676,185.8
347,train,3.2160,0.1672,5.82,3.0254,4.24,688,186.3
348,train,2.6369,0.2442,5.43,2.6129,7.00,770,186.8
349,train,3.1673,0.2227,7.46,2.7006,5.61,714,187.4
350,train,2.4110,0.2989,4.61,2.5184,4.83,756,187.9
351,train,3.2304,0.0755,7.77,3.3677,12.44,728,188.4
352,train,2.9361,0.2060,7.63,2.2177,5.12,728,189.0
353,train,3.9473,0.1439,10.50,4.1271,12.23,716,189.5
354,train,3.8711,0.0755,10.08,3.8758,8.70,742,190.0
355,train,3.7483,0.0458,8.09,4.0536,7.48,742,190.6
356,train,3.3868,0.0545,8.24,3.3423,7.41,770,191.1
357,train,2.5281,0.2909,4.47,1.3770,2.41,770,191.6
358,train,3.4461,0.0916,8.61,3.4943,6.24,677,192.2
359,train,2.4792,0.2115,4.74,2.5451,5.58,728,192.7
360,train,4.3608,0.1003,11.47,4.4637,15.00,728,193.2
361,train,2.8331,0.1071,7.14,2.0504,2.41,728,193.8
362,train,2.8242,0.1519,4.88,2.6238,6.24,770,194.3
363,train,3.3989,0.0298,8.08,3.6182,5.65,704,194.8
364,train,3.8027,0.1240,10.11,4.1341,8.25,742,195.4
365,train,3.1765,0.1092,8.04,2.9735,11.16,742,195.9
366,train,3.2656,0.1816,9.42,2.9218,7.40,716,196.4
367,train,5.3921,0.0185,11.62,4.2519,11.12,650,197.0
368,train,3.9765,0.0710,11.22,3.8813,12.66,718,197.5
369,train,3.9867,0.0489,13.21,3.7586,14.82,716,198.1
370,train,5.4691,0.1204,17.92,5.6160,20.10,714,198.6
371,train,2.7483,0.2938,5.69,2.4746,2.41,742,199.1
372,train,3.1873,0.1709,9.03,2.6850,3.00,743,199.6
373,train,3.6983,0.0725,12.33,3.1479,11.44,648,200.1
374,train,3.9742,0.0140,12.49,3.9716,14.61,784,200.7
375,train,4.5997,0.0697,18.27,4.1209,18.16,674,201.2
376,train,3.1152,0.0566,6.05,2.6400,4.00,742,201.7
377,train,3.6186,0.1631,8.40,3.3659,9.43,742,202.2
378,train,2.7961,0.2199,5.73,2.9607,6.58,732,202.8
379,train,3.4737,0.2377,8.85,3.6229,11.97,690,203.3
380,train,3.8183,0.0606,10.00,3.5082,8.91,742,203.8
381,train,4.2418,0.0988,12.72,3.4807,11.93,688,204.3
382,train,3.6090,0.1357,10.00,3.2943,11.02,700,204.9
383,train,2.6798,0.2425,8.08,3.0472,9.50,701,205.4
384,train,3.5299,0.1009,10.79,3.1301,8.74,664,205.9
385,train,4.2403,0.1829,10.50,4.1146,11.51,700,206.5
386,train,3.0599,0.0556,5.79,2.9115,5.41,756,207.0
387,train,3.7073,0.0494,12.15,3.2140,5.24,688,207.5
388,train,3.4302,0.0710,8.37,3.5994,6.24,704,208.0
389,train,4.2540,0.0699,10.21,4.3571,10.45,744,208.6
390,train,2.8670,0.2351,5.46,3.2582,6.83,770,209.1
391,train,2.4173,0.1783,4.22,1.7944,3.41,718,209.7
392,train,3.9418,0.1498,16.28,4.0383,18.25,701,210.2
393,train,2.9691,0.2249,6.51,2.7900,7.24,676,210.7
394,train,5.5295,0.0672,17.24,5.5906,23.00,714,211.2
395,train,3.0614,0.0809,8.32,2.7941,9.50,742,211.8
396,train,3.7087,0.0364,10.79,3.6140,8.80,742,212.3
397,train,2.2003,0.3459,3.85,2.3499,4.41,743,212.8
398,train,3.2156,0.0939,8.25,2.6156,4.41,756,213.3
399,train,2.9745,0.1536,5.38,3.2097,6.06,729,213.9
400,train,3.4926,0.0504,10.15,3.1989,12.31,714,214.4
401,train,3.0284,0.2638,7.31,2.9465,5.41,690,214.9
402,train,2.3947,0.2885,3.86,2.3956,4.00,728,215.5
403,train,3.7503,0.0920,10.36,3.5528,6.54,728,216.0
404,train,3.7593,0.1064,13.17,3.4545,13.96,677,216.5
405,train,4.0468,0.1247,13.17,4.0945,16.18,730,217.0
406,train,4.0908,0.0725,10.03,4.0127,9.24,676,217.6
407,train,2.4888,0.1861,4.67,2.1777,5.83,704,218.1
408,train,4.0340,0.0969,11.41,4.3647,11.36,702,218.6
409,train,1.9570,0.4090,2.94,1.8801,3.41,714,219.2
410,train,3.5199,0.1338,7.11,3.2806,6.58,770,219.7
411,train,4.1981,0.0089,10.77,3.7908,10.83,674,220.2
412,train,3.3335,0.1900,9.34,3.4278,12.58,742,220.8
413,train,2.9340,0.1813,8.96,2.3179,4.24,717,221.3
414,train,3.9992,0.0464,9.73,3.4036,9.48,690,221.8
415,train,3.9333,0.0796,9.55,3.3520,9.65,729,222.3
416,train,2.3669,0.2526,3.86,1.9694,2.00,756,222.9
417,train,3.6607,0.2237,10.80,3.2745,9.05,742,223.4
418,train,3.2419,0.0440,5.97,2.3589,4.41,728,223.9
419,train,2.4479,0.2360,5.26,2.4927,5.00,716,224.5
420,train,4.5969,0.0041,19.40,4.3115,19.59,728,225.0
421,train,3.0790,0.2452,9.45,2.6557,8.66,677,225.5
