step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec
124,train,2.9784,0.1290,5.87,2.7747,5.53,1442,103.3
125,train,3.3275,0.2045,7.45,3.0539,7.71,1418,104.1
126,train,3.5441,0.1668,7.90,3.3568,6.72,1421,104.9
127,train,2.7806,0.2052,6.54,2.7664,4.42,1301,105.7
128,train,3.3776,0.0671,8.32,3.0783,7.87,1371,106.5
129,train,3.3363,0.1517,8.01,3.1777,7.99,1404,107.3
130,train,3.6202,0.0852,12.02,3.8818,12.61,1303,108.1
131,train,3.6331,0.0362,10.24,3.0489,7.94,1327,108.9
132,train,3.5922,0.1105,8.41,3.0270,7.84,1339,109.7
133,train,3.1183,0.1530,6.27,2.8650,4.79,1405,110.5
134,train,2.2588,0.2898,4.96,2.4131,4.33,1256,111.3
135,train,3.3663,0.1262,10.10,3.5764,10.78,1458,112.1
136,train,3.3765,0.1274,9.84,3.5514,8.86,1382,113.0
137,train,3.8870,0.0769,9.89,3.3709,8.61,1418,113.8
138,train,2.5946,0.2859,5.33,2.5662,4.41,1392,114.6
139,train,3.7112,0.0876,9.36,3.6722,10.08,1392,115.4
140,train,3.7521,0.0564,9.43,3.4810,8.79,1526,116.2
141,train,3.5886,0.0457,9.16,3.3175,8.25,1356,117.0
142,train,3.3157,0.2140,8.18,3.2569,10.40,1327,117.8
143,train,3.4959,0.0517,8.00,3.7312,6.91,1355,118.6
144,train,3.2582,0.1248,8.09,3.4910,10.78,1338,119.4
145,train,3.4491,0.1092,7.39,2.9879,5.09,1392,120.2
146,train,4.0816,0.0653,12.60,3.9955,12.50,1486,121.0
147,train,3.0465,0.2244,10.09,3.0964,13.23,1328,121.8
148,train,3.8041,0.0654,9.02,3.1512,8.38,1421,122.6
149,train,3.3544,0.1135,8.88,3.5930,6.94,1348,123.4
150,train,3.3373,0.2029,9.20,3.3267,10.99,1390,124.2
151,train,4.3590,0.0275,14.27,4.0703,11.29,1456,125.0
152,train,2.9810,0.2543,6.09,2.7436,6.00,1278,125.8
153,train,2.8320,0.2932,5.58,2.7487,6.95,1378,126.6
154,train,3.7894,0.0746,8.54,3.8079,7.18,1353,127.4
155,train,3.2941,0.1969,9.65,3.0174,10.23,1376,128.2
156,train,3.7057,0.0734,10.67,3.5012,10.37,1389,129.0
157,train,3.4916,0.1128,8.51,3.1855,6.03,1445,129.8
158,train,3.2376,0.1579,7.63,3.1616,9.30,1444,130.6
159,train,3.4292,0.1334,7.79,3.0452,5.72,1379,131.4
160,train,4.6802,0.0473,11.08,4.7961,10.27,1375,132.2
161,train,3.1460,0.1097,10.08,2.9031,11.30,1340,133.0
162,train,2.5787,0.3125,4.48,2.5250,4.33,1376,133.8
163,train,3.3181,0.1876,8.95,3.2306,9.54,1407,134.6
164,train,3.1412,0.1057,6.57,2.5884,7.45,1315,135.4
165,train,3.7642,0.1166,7.99,3.5135,9.33,1406,136.2
166,train,4.0433,0.0697,16.27,3.9938,18.37,1392,137.0
167,train,3.3963,0.1713,10.16,3.4882,7.49,1407,137.8
168,train,4.1406,0.0406,13.34,5.0301,20.40,1404,138.6
169,train,3.8692,0.0718,14.89,3.5359,17.34,1378,139.4
170,train,3.3202,0.1219,8.37,3.3900,8.15,1378,140.2
171,train,3.7634,0.0812,10.27,3.4116,10.50,1342,141.0
172,train,2.9313,0.1748,6.24,2.7049,4.79,1379,141.8
173,train,4.2084,0.0803,11.59,4.2445,11.03,1420,142.6
174,train,3.4680,0.1313,10.62,3.0482,12.21,1401,143.4
175,train,3.4022,0.0844,8.35,3.5138,9.83,1446,144.2
176,train,3.5567,0.1476,10.88,3.5144,12.43,1314,145.0
177,train,3.7054,0.1161,11.88,3.3906,15.27,1404,145.8
178,train,3.2123,0.0895,7.44,3.2360,6.35,1419,146.6
179,train,3.5988,0.0821,8.07,3.0271,7.70,1340,147.4
180,train,2.8779,0.1078,5.81,2.4790,4.12,1429,148.2
181,train,3.3636,0.2022,9.28,3.1175,8.16,1390,149.0
182,train,3.5331,0.0718,7.57,2.8429,4.41,1310,149.8
183,train,2.7941,0.2155,6.61,2.7370,5.31,1378,150.6
184,train,2.5732,0.2300,4.75,2.0652,4.94,1313,151.4
185,train,3.7883,0.0718,12.04,3.4818,10.59,1393,152.2
186,train,3.2822,0.0872,7.42,3.0326,7.48,1456,153.0
187,train,3.0516,0.1982,8.82,3.1212,9.32,1352,153.8
188,train,3.4064,0.1152,9.72,3.4415,8.74,1484,154.6
189,train,3.8075,0.0645,9.99,3.6677,11.13,1349,155.4
190,train,3.8288,0.2186,8.22,3.3234,8.31,1418,156.2
191,train,3.1125,0.1675,7.72,3.0827,7.48,1391,157.0
192,train,3.8641,0.1281,13.04,3.4495,10.23,1343,157.8
193,train,3.5402,0.0982,7.68,2.7850,4.89,1354,158.6
