step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec,vce_m,vce_pose_m
196,train,4.3150,0.1307,6.30,4.0994,6.59,1568,156.0,nan,nan
197,train,3.1455,0.2047,4.53,3.0344,2.88,1568,156.7,nan,nan
198,train,4.2697,0.0753,9.11,4.1523,7.60,1568,157.5,nan,nan
199,train,3.8748,0.0918,6.42,4.1348,6.98,1568,158.3,nan,nan
200,train,3.9502,0.1142,4.91,4.0377,4.49,1568,159.1,nan,nan
201,train,3.3003,0.1224,4.26,2.9718,4.22,1568,159.9,nan,nan
202,train,3.8556,0.1008,7.63,3.8416,8.33,1568,160.6,nan,nan
203,train,4.4944,0.0459,8.39,4.0547,10.78,1568,161.4,nan,nan
204,train,4.6254,0.0625,9.93,4.4225,8.84,1568,162.2,nan,nan
205,train,4.7475,0.0727,9.86,4.2946,6.35,1568,163.0,nan,nan
206,train,4.7185,0.0300,7.55,4.2915,7.22,1568,163.7,nan,nan
207,train,4.1874,0.0497,6.32,4.1243,5.16,1568,164.5,nan,nan
208,train,3.8544,0.0797,6.43,3.5789,5.70,1568,165.3,nan,nan
209,train,4.1710,0.0918,7.69,3.4171,4.66,1568,166.1,nan,nan
210,train,4.8722,0.0612,12.88,4.5612,11.48,1568,166.9,nan,nan
211,train,4.7489,0.0121,8.49,4.1828,8.14,1568,167.6,nan,nan
212,train,3.7858,0.0931,5.58,3.3079,6.83,1568,168.4,nan,nan
213,train,4.0424,0.1352,8.07,3.7366,7.88,1568,169.2,nan,nan
214,train,4.0889,0.0542,7.43,4.1654,8.55,1568,170.0,nan,nan
215,train,3.4403,0.1486,4.09,3.0400,3.72,1568,170.7,nan,nan
216,train,4.1274,0.0434,5.59,3.7219,4.44,1568,171.5,nan,nan
217,train,3.4928,0.1441,3.35,3.1442,3.06,1568,172.3,nan,nan
218,train,3.6513,0.1480,5.26,3.8718,5.28,1568,173.1,nan,nan
219,train,4.4932,0.1008,9.57,4.1219,10.03,1568,173.9,nan,nan
220,train,3.9220,0.0957,5.30,3.5163,3.64,1568,174.6,nan,nan
221,train,3.7869,0.1205,4.51,2.9040,2.50,1568,175.4,nan,nan
222,train,4.6421,0.0548,6.15,4.3651,5.24,1568,176.2,nan,nan
223,train,4.4684,0.0682,8.55,4.2934,7.71,1568,177.0,nan,nan
224,train,4.2348,0.0548,9.59,3.6144,8.98,1568,177.7,nan,nan
225,train,3.6048,0.1365,4.30,3.3874,3.25,1568,178.5,nan,nan
226,train,4.2054,0.0772,10.02,3.8232,8.38,1568,179.3,nan,nan
227,train,3.2929,0.1327,3.36,3.2363,2.95,1568,180.1,nan,nan
228,train,3.1234,0.1747,3.80,3.2147,3.89,1568,180.9,nan,nan
229,train,3.9769,0.0772,5.34,3.1078,4.26,1568,181.6,nan,nan
230,train,5.1173,0.0198,7.42,4.6924,5.52,1568,182.4,nan,nan
231,train,3.3982,0.1441,6.68,3.2662,5.60,1568,183.2,nan,nan
232,train,4.1321,0.0963,8.91,4.3311,8.05,1568,184.0,nan,nan
233,train,3.1349,0.2124,3.62,3.3079,3.25,1568,184.8,nan,nan
234,train,3.8835,0.0950,7.01,3.6770,6.42,1568,185.5,nan,nan
235,train,6.0592,0.0255,14.11,5.9783,12.94,1568,186.3,nan,nan
