step,split,ce,cert,top1,top5,cell_err_m,pose_nll,pose_err_m,n,sec
4786,train,nan,0.1506,nan,nan,nan,0.0000,nan,0,2.4
4787,train,4.7558,3.1749,0.0052,0.0208,29.41,4.7539,24.00,192,3.1
4788,train,5.6678,4.2674,0.0000,0.0000,26.76,5.1544,18.25,194,2.2
4789,train,nan,0.1190,nan,nan,nan,0.0000,nan,0,3.5
4790,train,4.9132,5.0639,0.0052,0.0155,15.93,4.5248,21.54,194,2.7
4791,train,6.2628,3.7362,0.0000,0.0000,36.11,5.9814,24.00,193,2.4
4792,train,4.9312,4.1091,0.0103,0.0979,13.38,4.4480,4.24,194,0.9
4793,train,5.1533,3.5811,0.0000,0.0000,45.90,5.0896,50.00,194,2.2
4794,train,4.9626,3.9232,0.0259,0.0622,15.64,4.1312,9.49,193,2.1
4795,train,3.2354,2.8752,0.1026,0.4615,10.70,3.4403,10.00,195,1.9
4796,train,3.3475,3.2746,0.1340,0.4433,12.29,2.8916,6.00,194,4.5
4797,train,3.7538,3.8818,0.0309,0.2526,11.57,2.9932,11.18,194,4.3
4798,train,4.1920,4.0952,0.0515,0.2216,22.90,3.5099,0.00,194,3.1
4799,train,nan,0.2782,nan,nan,nan,0.0000,nan,0,5.2
4800,train,3.6082,3.0730,0.0670,0.3299,8.28,3.3963,8.00,194,3.1
4800,val,4.3148,,0.0249,0.1144,18.51,4.1770,19.65,7021,65.9
4801,train,nan,0.2624,nan,nan,nan,0.0000,nan,0,5.6
4802,train,5.4091,3.3811,0.0000,0.0000,31.46,5.4619,36.50,194,0.9
4803,train,3.6460,2.8553,0.0052,0.0670,33.34,3.4894,42.00,194,5.8
4804,train,5.8632,3.0747,0.0052,0.0103,24.52,3.9198,15.30,194,2.5
4805,train,3.9231,2.6980,0.0103,0.0670,28.24,3.5554,40.31,194,5.2
4806,train,3.7375,3.4215,0.0103,0.0670,32.62,3.5652,25.50,194,2.0
4807,train,5.1296,3.3249,0.0208,0.1042,9.86,3.3223,9.00,192,1.9
4808,train,4.2925,2.7008,0.0104,0.0570,22.22,4.9086,20.62,193,4.0
4809,train,5.1430,3.4985,0.0000,0.0000,45.77,4.8886,61.85,194,3.7
4810,train,3.6515,2.8924,0.0412,0.2062,13.36,2.9982,4.00,194,1.8
4811,train,4.4399,3.1968,0.0000,0.0258,15.99,4.4308,16.49,194,2.3
4812,train,4.4378,2.7037,0.0000,0.0104,42.10,4.4741,60.30,193,3.2
4813,train,3.5635,2.6720,0.0258,0.2268,15.83,3.4202,15.81,194,3.9
4814,train,3.8456,3.1624,0.0103,0.0206,64.71,3.2418,96.00,194,2.6
4815,train,3.5691,3.0902,0.0515,0.2784,10.68,3.4483,5.00,194,3.9
4816,train,4.3171,2.4922,0.0052,0.0258,24.57,3.9928,49.48,194,4.0
4817,train,3.4839,2.9904,0.0309,0.1598,29.51,3.0478,30.59,194,2.5
4818,train,4.4560,3.8185,0.0052,0.0515,10.99,3.6087,15.30,194,2.7
4819,train,nan,0.2481,nan,nan,nan,0.0000,nan,0,3.1
4820,train,3.7729,3.4940,0.0155,0.1865,12.91,3.4897,16.00,193,2.3
4821,train,3.7133,3.7025,0.0876,0.3196,15.17,2.9752,6.00,194,5.3
4822,train,4.8966,3.5026,0.0000,0.0155,46.01,4.4024,55.80,194,1.7
4823,train,4.1876,3.1844,0.0103,0.0515,17.37,4.3178,14.42,194,2.5
4824,train,3.6970,3.5857,0.0000,0.0000,52.37,3.3754,55.23,194,4.4
4825,train,3.4941,3.1602,0.0876,0.3608,14.50,2.8934,13.42,194,3.4
4826,train,4.4572,3.7691,0.0104,0.0725,10.48,3.0519,0.00,193,1.7
4827,train,5.0003,4.1466,0.0155,0.0670,13.71,4.1445,14.42,194,2.3
4828,train,nan,0.3217,nan,nan,nan,0.0000,nan,0,1.5
4829,train,nan,0.3062,nan,nan,nan,0.0000,nan,0,3.6
4830,train,4.6046,3.9532,0.0311,0.0933,11.27,3.4616,6.00,193,1.5
4831,train,3.5316,3.1714,0.0311,0.2383,11.93,3.3347,8.94,193,2.4
4832,train,4.0952,4.5365,0.0361,0.1237,39.49,4.7334,38.08,194,3.8
4833,train,3.2998,2.8747,0.0564,0.2718,16.05,2.8084,18.00,195,6.1
4834,train,4.0234,3.9389,0.0308,0.2103,11.78,4.1428,16.49,195,2.2
4835,train,4.5223,4.5478,0.0156,0.0990,15.86,3.6631,6.71,192,0.9
4836,train,4.0929,3.7641,0.0258,0.1082,15.05,3.6061,4.00,194,2.8
4837,train,nan,0.1570,nan,nan,nan,0.0000,nan,0,2.0
4838,train,nan,0.2089,nan,nan,nan,0.0000,nan,0,3.0
4839,train,4.2749,3.7787,0.0206,0.0979,11.76,3.2649,3.00,194,1.3
4840,train,4.9049,3.9732,0.0000,0.0000,44.24,4.5996,45.61,194,3.4
4841,train,nan,0.2070,nan,nan,nan,0.0000,nan,0,3.1
4842,train,6.4444,3.9828,0.0000,0.0515,12.08,5.5107,12.37,194,1.7
4843,train,4.8066,3.4454,0.0000,0.0000,59.93,4.9245,74.22,194,5.9
4844,train,4.4851,3.9146,0.0206,0.1134,11.89,3.0609,6.00,194,1.7
4845,train,3.4534,3.7837,0.0518,0.2694,10.01,2.9614,0.00,193,2.9
4846,train,3.4663,4.4190,0.0515,0.3402,16.21,3.5013,20.00,194,4.7
4847,train,3.2794,3.5980,0.0625,0.3125,16.55,3.8238,25.00,192,4.9
4848,train,4.9252,4.6913,0.0155,0.0773,13.54,4.3144,9.49,194,1.7
4849,train,4.5708,4.8080,0.0104,0.0781,11.54,4.8424,6.71,192,1.4
4850,train,4.1973,3.8610,0.0000,0.0361,26.10,3.5251,30.59,194,6.8
4851,train,4.8247,5.3817,0.0052,0.0567,12.52,4.2565,15.30,194,1.9
4852,train,3.9240,4.8348,0.0000,0.0259,24.08,3.5583,4.00,193,2.7
4853,train,4.0403,4.6698,0.0103,0.0979,13.84,3.4601,4.00,194,2.9
4854,train,4.9344,4.7248,0.0000,0.0104,19.84,3.9134,21.84,193,2.3
4855,train,4.6253,4.2389,0.0000,0.0000,26.56,5.2203,17.89,193,2.8
4856,train,3.8169,4.0204,0.0052,0.0363,33.77,3.3620,40.31,193,2.8
4857,train,nan,0.1522,nan,nan,nan,0.0000,nan,0,1.7
4858,train,4.7050,5.0412,0.0000,0.0000,16.92,4.4504,16.97,193,3.1
4859,train,5.0008,4.3504,0.0156,0.0469,24.56,4.1909,38.42,192,1.4
4860,train,3.9690,4.3139,0.0103,0.0361,16.56,3.3011,12.00,194,1.8
4861,train,4.8495,3.5837,0.0363,0.1451,11.20,2.8585,4.24,193,2.5
4862,train,4.0455,3.7749,0.0052,0.0881,10.73,3.4783,16.00,193,3.1
4863,train,4.4901,4.4524,0.0206,0.0722,25.22,4.8617,24.33,194,2.1
4864,train,3.8648,3.8823,0.0464,0.1959,19.92,3.6390,7.07,194,3.8
4865,train,4.2314,5.2096,0.0103,0.1392,11.59,3.1611,15.00,194,1.5
4866,train,4.4598,4.8211,0.0412,0.1443,10.32,3.2651,3.00,194,2.0
4867,train,4.1533,3.2557,0.0000,0.0311,27.28,3.9646,36.50,193,5.5
4868,train,4.3871,4.5979,0.0207,0.0725,21.74,4.4663,36.50,193,3.0
4869,train,3.9778,5.2692,0.0570,0.2280,11.40,4.1098,5.66,193,2.5
4870,train,3.9954,4.4663,0.0155,0.1134,14.68,3.9541,25.50,194,4.1
4871,train,4.8651,4.8388,0.0000,0.0000,23.27,5.3267,20.00,193,2.7
4872,train,4.0982,4.2643,0.0415,0.1813,12.44,4.0605,12.37,193,2.3
4873,train,4.4084,4.8242,0.0155,0.0670,10.97,4.0147,10.82,194,1.2
4874,train,4.5942,5.2732,0.0103,0.0619,19.79,3.2841,12.00,194,7.0
4875,train,4.5407,4.7319,0.0466,0.1658,25.35,4.2195,36.50,193,7.1
4876,train,3.7946,4.3875,0.0773,0.2113,13.29,3.2073,5.00,194,2.0
4877,train,nan,0.0857,nan,nan,nan,0.0000,nan,0,2.1
4878,train,3.5704,4.4223,0.0928,0.3711,10.26,3.0525,4.00,194,2.3
4879,train,nan,0.2527,nan,nan,nan,0.0000,nan,0,2.1
4880,train,3.9872,4.5691,0.0415,0.2487,9.15,4.2237,8.94,193,2.1
4881,train,nan,0.1403,nan,nan,nan,0.0000,nan,0,2.6
4882,train,4.1987,4.9385,0.0309,0.0722,11.04,3.3378,4.24,194,2.0
4883,train,3.9765,4.5668,0.0412,0.2526,13.97,3.2510,0.00,194,2.5
