step,split,ce,cert,top1,top5,cell_err_m,pose_nll,pose_err_m,n,sec
5244,train,3.3554,3.6970,0.1082,0.4278,10.69,2.8733,5.00,194,2.2
5245,train,4.2843,4.8550,0.0104,0.0466,21.50,4.2916,26.83,193,5.0
5246,train,4.0020,4.3797,0.0155,0.0928,18.10,2.8137,18.00,194,6.5
5247,train,3.5461,4.2836,0.0363,0.1917,13.59,3.3797,12.00,193,2.0
5248,train,3.6446,4.0175,0.0361,0.1546,26.37,4.0441,36.40,194,3.1
5249,train,3.1524,4.2673,0.2552,0.5677,16.24,3.1364,8.49,192,5.3
5250,train,4.3464,3.9551,0.0000,0.0000,37.42,3.3016,24.74,193,4.1
5251,train,nan,0.1306,nan,nan,nan,0.0000,nan,0,4.7
5252,train,3.7894,3.7761,0.0415,0.1503,11.19,3.0157,20.00,193,2.6
5253,train,4.4235,4.4534,0.0155,0.1082,10.34,3.6612,6.71,194,1.4
5254,train,4.9127,5.1962,0.0156,0.0677,15.34,3.8563,24.19,192,1.3
5255,train,4.7496,4.1064,0.0000,0.0103,22.64,4.8693,18.97,194,2.0
5256,train,nan,0.2470,nan,nan,nan,0.0000,nan,0,3.6
5257,train,nan,0.4424,nan,nan,nan,0.0000,nan,0,2.3
5258,train,4.0618,4.5942,0.0361,0.1340,10.38,3.3299,6.00,194,1.6
5259,train,4.2285,3.8472,0.0206,0.1443,11.92,4.5621,8.94,194,2.5
5260,train,nan,0.1727,nan,nan,nan,0.0000,nan,0,2.9
5261,train,4.1730,4.3754,0.0464,0.1804,14.67,3.9134,5.66,194,3.3
5262,train,3.6917,3.7592,0.0515,0.2010,14.07,2.6325,0.00,194,3.4
5263,train,4.3720,4.3819,0.0052,0.0155,37.16,3.7102,36.00,194,2.5
5264,train,3.4003,4.1859,0.1042,0.3906,8.25,2.9004,5.00,192,4.8
5265,train,3.2639,4.6344,0.0928,0.3660,11.34,3.1696,5.00,194,2.0
5266,train,5.0805,4.9001,0.0000,0.0000,27.02,4.4626,22.36,194,3.5
5267,train,nan,0.1656,nan,nan,nan,0.0000,nan,0,3.9
5268,train,3.5826,3.6027,0.0464,0.2062,16.40,2.8028,5.66,194,2.3
5269,train,3.8749,5.4657,0.0670,0.3093,10.53,2.9779,3.00,194,2.0
5270,train,3.3563,3.8442,0.0567,0.2835,16.82,2.9544,30.00,194,1.5
5271,train,4.0011,3.8496,0.0258,0.1753,8.32,3.7436,12.37,194,1.6
5272,train,3.1196,4.4518,0.1094,0.4323,10.84,2.7346,12.00,192,6.6
5273,train,4.5500,5.3714,0.0000,0.0000,63.36,3.8281,80.62,192,4.1
5274,train,3.7494,4.7811,0.0311,0.1865,9.68,3.9398,8.94,193,2.3
5275,train,3.6713,5.1338,0.0052,0.0309,29.12,3.5210,12.00,194,2.7
5276,train,3.2857,4.1789,0.0928,0.4124,12.66,2.7186,24.00,194,2.7
5277,train,3.9102,4.3769,0.0309,0.1134,25.58,4.3062,25.50,194,1.7
5278,train,3.5817,4.6493,0.0258,0.1186,21.47,3.3151,7.07,194,4.1
5279,train,4.0229,4.7943,0.0155,0.0876,13.31,2.9760,3.00,194,1.2
5280,train,4.6379,5.0771,0.0206,0.0876,10.04,5.3375,6.71,194,1.2
5281,train,3.8769,4.7213,0.0412,0.1134,11.61,3.1245,3.00,194,2.0
5282,train,3.9913,5.5458,0.0206,0.1031,11.04,3.4091,8.94,194,2.6
5283,train,5.4194,4.5046,0.0259,0.1451,10.19,3.6155,4.24,193,1.9
5284,train,5.4864,5.4768,0.0000,0.0000,62.37,5.1817,62.64,194,5.1
5285,train,nan,0.1522,nan,nan,nan,0.0000,nan,0,3.8
5286,train,3.9801,5.5356,0.0258,0.1495,10.03,3.4939,6.00,194,2.2
5287,train,4.4449,5.0821,0.0052,0.0052,18.46,6.1246,21.54,194,3.4
5288,train,4.0316,5.1580,0.0259,0.1347,8.67,2.3374,3.00,193,1.7
5289,train,3.2735,4.0149,0.1237,0.5412,9.89,3.6304,24.33,194,3.4
5290,train,4.5485,4.8882,0.0207,0.0622,12.37,4.0542,9.00,193,1.8
5291,train,3.7957,4.4628,0.0312,0.1667,15.21,4.0045,11.18,192,4.5
5292,train,3.4998,3.8717,0.0885,0.3698,9.47,2.5522,4.00,192,2.6
5293,train,nan,0.3198,nan,nan,nan,0.0000,nan,0,2.8
5294,train,3.5471,2.7351,0.0155,0.1186,18.66,4.0846,20.62,194,3.8
5295,train,4.1457,4.8796,0.0207,0.1554,9.56,2.7392,0.00,193,2.3
5296,train,3.4030,3.7905,0.0622,0.3627,14.32,3.4292,15.00,193,3.7
5297,train,4.0413,4.6087,0.0619,0.2062,11.38,3.1987,8.94,194,2.2
5298,train,4.4484,3.7744,0.0000,0.0103,30.94,3.9862,20.62,194,2.7
5299,train,4.9552,4.3243,0.0000,0.0052,25.00,3.5897,24.74,194,2.2
5300,train,nan,0.2171,nan,nan,nan,0.0000,nan,0,5.7
5301,train,4.1728,4.4923,0.0208,0.0781,15.57,3.2875,21.21,192,1.3
5302,train,4.3573,4.7891,0.0000,0.0155,27.61,4.0430,15.00,194,3.1
5303,train,nan,0.2554,nan,nan,nan,0.0000,nan,0,1.7
5304,train,4.0356,4.8425,0.0259,0.1347,10.66,3.8353,12.00,193,2.2
5305,train,nan,0.3970,nan,nan,nan,0.0000,nan,0,1.3
5306,train,3.5759,4.1666,0.0000,0.0259,40.08,2.7598,40.00,193,4.5
5307,train,4.1900,3.9376,0.0000,0.0259,32.97,3.5672,18.00,193,4.6
5308,train,4.5563,4.9180,0.0052,0.0670,17.84,4.3598,15.81,194,3.4
5309,train,3.9708,4.7729,0.0415,0.2435,12.12,3.1750,8.94,193,2.1
5310,train,3.8763,4.8484,0.0206,0.1134,18.41,3.4291,20.62,194,4.7
5311,train,nan,0.1526,nan,nan,nan,0.0000,nan,0,4.6
5312,train,5.2523,5.2059,0.0000,0.0000,47.86,5.2765,43.08,194,2.2
5313,train,4.1078,5.2560,0.0570,0.2176,10.87,3.7529,15.00,193,2.1
5314,train,3.6420,4.1164,0.0567,0.2216,22.75,3.5278,6.00,194,2.5
5315,train,4.5832,4.9822,0.0000,0.0052,23.15,3.6901,24.19,193,1.7
5316,train,nan,0.0704,nan,nan,nan,0.0000,nan,0,2.6
5317,train,4.7839,4.4216,0.0000,0.0052,16.64,5.4476,26.83,193,2.9
5318,train,4.8121,5.0578,0.0415,0.0829,11.96,4.4209,12.37,193,1.5
5319,train,nan,0.1509,nan,nan,nan,0.0000,nan,0,2.4
5320,train,4.1758,4.2675,0.0156,0.1042,12.67,3.6888,12.00,192,2.3
5321,train,3.8825,4.9535,0.0052,0.1036,12.28,3.5959,3.00,193,2.3
5322,train,4.1302,4.6287,0.0311,0.1554,13.10,2.5141,0.00,193,1.4
5323,train,3.7288,4.2626,0.0415,0.1762,13.38,3.5409,25.30,193,1.1
5324,train,3.8280,4.4405,0.0518,0.2642,11.06,2.7555,4.00,193,3.2
5325,train,4.1434,4.1796,0.0466,0.1710,21.53,3.3597,15.81,193,3.8
5326,train,3.4724,3.9130,0.0361,0.2268,10.24,2.8282,4.00,194,2.2
5327,train,nan,0.2291,nan,nan,nan,0.0000,nan,0,1.2
5328,train,4.0503,3.7321,0.0311,0.1347,9.14,2.4058,0.00,193,2.4
5329,train,3.5875,5.2711,0.0515,0.2835,15.11,2.8030,7.07,194,3.6
5330,train,3.8720,5.3584,0.0207,0.0777,27.44,3.6607,30.41,193,3.3
5331,train,4.2230,4.6002,0.0155,0.1392,11.18,3.7269,9.00,194,0.9
5332,train,3.4052,4.7591,0.0928,0.2526,9.71,2.6304,4.00,194,3.2
5333,train,4.1408,4.3129,0.0260,0.1458,18.94,5.5492,26.93,192,3.5
5334,train,3.4114,4.1336,0.0670,0.3093,11.82,2.8473,4.00,194,3.2
5335,train,4.0828,5.5447,0.0206,0.0567,14.08,4.1398,15.30,194,2.4
5336,train,nan,0.1221,nan,nan,nan,0.0000,nan,0,2.0
5337,train,3.7750,5.5743,0.0000,0.0052,28.87,4.5293,55.00,194,3.1
5338,train,3.7302,5.2105,0.0412,0.2320,12.48,4.4595,5.66,194,2.8
5339,train,nan,0.2238,nan,nan,nan,0.0000,nan,0,1.9
5340,train,4.5996,5.2935,0.0363,0.1088,21.89,4.5242,32.31,193,6.9
5341,train,5.5183,5.2099,0.0104,0.0415,18.59,6.7835,10.82,193,2.1
5342,train,3.5870,4.0974,0.0363,0.2332,16.00,2.9444,12.00,193,6.0
5343,train,nan,0.2230,nan,nan,nan,0.0000,nan,0,0.8
5344,train,4.8141,5.2142,0.0000,0.0052,28.97,4.0609,36.50,194,2.2
5345,train,4.0915,5.3179,0.0259,0.1606,9.46,3.6672,9.00,193,1.7
5346,train,3.1439,4.2618,0.0464,0.3144,17.55,2.8163,12.00,194,5.4
5347,train,3.8512,5.1178,0.0625,0.2812,15.51,3.9029,25.30,192,1.1
5348,train,3.7320,4.4919,0.0258,0.0979,15.90,4.3424,8.94,194,2.6
5349,train,3.6483,4.7805,0.1082,0.2784,13.12,3.1346,8.00,194,1.2
5350,train,nan,0.2486,nan,nan,nan,0.0000,nan,0,1.9
5351,train,3.4530,3.5884,0.1244,0.4560,9.30,3.2119,8.94,193,2.4
5352,train,4.4582,5.3109,0.0052,0.0515,17.53,4.3516,12.00,194,1.7
5353,train,3.8505,4.6391,0.0464,0.1907,8.84,3.2683,3.00,194,2.2
5354,train,4.3857,4.6450,0.0258,0.1186,12.60,4.0290,24.19,194,1.6
5355,train,nan,0.2026,nan,nan,nan,0.0000,nan,0,3.3
5356,train,4.1272,4.8223,0.0829,0.2332,11.19,3.2082,7.07,193,3.4
5357,train,4.5971,4.8269,0.0363,0.1192,18.55,2.9623,18.97,193,3.4
5358,train,3.6504,3.8988,0.0469,0.1823,15.58,3.6694,7.07,192,4.2
5359,train,3.5755,3.3971,0.0466,0.2798,12.32,3.9536,13.42,193,6.2
5360,train,4.9928,4.2610,0.0000,0.0000,25.44,5.5382,18.97,193,4.1
5361,train,3.2284,3.9877,0.1443,0.5619,7.94,2.6608,7.07,194,2.8
5362,train,3.5278,4.5974,0.0670,0.2320,16.69,2.8075,32.25,194,3.3
5363,train,4.3782,5.4684,0.0155,0.0619,25.91,4.2203,46.96,194,1.2
5364,train,4.5560,5.1495,0.0052,0.0361,17.26,6.5468,13.42,194,1.2
5365,train,3.6834,4.1892,0.0206,0.0979,14.58,3.1369,12.00,194,2.1
5366,train,4.4541,4.7909,0.0000,0.0000,40.26,4.3505,43.08,194,2.8
5367,train,3.5393,4.1104,0.0670,0.3557,12.48,2.6190,6.00,194,4.9
5368,train,3.5506,3.7254,0.0464,0.2629,15.65,2.4991,0.00,194,1.9
5369,train,3.8651,4.7832,0.0415,0.1969,8.35,3.5108,12.00,193,2.0
5370,train,4.6152,4.7179,0.0000,0.0000,24.00,4.2851,18.25,193,1.3
5371,train,nan,0.1644,nan,nan,nan,0.0000,nan,0,1.5
5372,train,5.6776,4.5161,0.0103,0.0464,20.09,6.6502,10.82,194,2.8
5373,train,3.6679,4.8149,0.0773,0.2320,9.29,2.7396,3.00,194,2.0
5374,train,3.8367,4.6441,0.0155,0.0619,27.41,3.4531,18.00,194,4.9
5375,train,3.6148,4.1637,0.0206,0.0825,21.79,3.9352,20.40,194,2.3
5376,train,3.8804,4.7214,0.0155,0.0825,20.88,3.9610,16.49,194,2.4
5377,train,3.9270,4.2332,0.0155,0.1503,9.93,3.8142,9.00,193,1.9
5378,train,4.2378,3.7831,0.0104,0.0885,9.12,3.3305,6.71,192,1.6
5379,train,4.9296,4.2115,0.0000,0.0000,56.23,4.8290,59.09,194,5.2
5380,train,4.4641,4.1835,0.0208,0.0469,25.61,4.7966,20.40,192,1.9
5381,train,4.9888,4.5863,0.0000,0.0104,11.94,4.5589,6.00,193,1.4
5382,train,3.7084,4.0096,0.0670,0.2113,28.65,3.4302,31.62,194,2.2
5383,train,nan,0.1934,nan,nan,nan,0.0000,nan,0,3.7
5384,train,3.8433,3.6616,0.0155,0.1289,22.66,4.1079,18.97,194,5.2
5385,train,4.3994,3.2893,0.0104,0.0677,17.70,4.4529,20.40,192,2.8
5386,train,5.3090,3.8444,0.0000,0.0000,45.30,5.9207,60.00,194,6.2
5387,train,nan,0.3841,nan,nan,nan,0.0000,nan,0,6.3
5388,train,nan,0.4085,nan,nan,nan,0.0000,nan,0,2.5
5389,train,4.6527,3.3266,0.0104,0.0777,21.09,4.0966,8.49,193,5.3
5390,train,4.7309,2.9077,0.0000,0.0412,23.40,4.3886,21.21,194,1.9
5391,train,4.7480,3.4703,0.0103,0.0619,34.04,4.2683,13.42,194,6.8
5392,train,4.2567,2.4481,0.0670,0.2526,15.33,4.2279,12.00,194,5.9
5393,train,3.9745,2.1825,0.0000,0.0260,33.15,3.7137,35.36,192,3.5
5394,train,nan,0.5053,nan,nan,nan,0.0000,nan,0,6.1
5395,train,4.1381,3.3041,0.0155,0.0515,22.61,3.8763,24.33,194,1.5
5396,train,nan,0.6358,nan,nan,nan,0.0000,nan,0,0.9
5397,train,nan,0.5086,nan,nan,nan,0.0000,nan,0,2.2
5398,train,3.6613,2.9027,0.0361,0.1237,20.36,3.7061,8.94,194,2.3
5399,train,3.8412,3.2219,0.0722,0.2835,11.27,3.4950,8.94,194,2.9
5400,train,3.9889,2.4738,0.0258,0.1082,26.53,4.0534,24.74,194,2.9
5400,val,4.1645,,0.0355,0.1671,15.60,3.9924,13.13,6865,66.0
5401,train,nan,0.4315,nan,nan,nan,0.0000,nan,0,1.2
5402,train,4.0843,2.8267,0.0208,0.1562,8.26,3.6221,9.00,192,0.9
5403,train,nan,0.3675,nan,nan,nan,0.0000,nan,0,2.6
5404,train,4.3523,2.2139,0.0000,0.0103,28.05,4.2681,54.00,194,5.6
5405,train,4.0783,2.7265,0.0052,0.0979,11.63,3.5551,6.00,194,1.8
5406,train,nan,0.5806,nan,nan,nan,0.0000,nan,0,4.1
5407,train,nan,0.4762,nan,nan,nan,0.0000,nan,0,3.8
5408,train,3.3766,2.8183,0.0619,0.2835,13.04,3.0384,4.00,194,2.8
5409,train,4.5267,2.8427,0.0000,0.0206,16.93,4.2904,9.49,194,1.6
5410,train,4.1059,3.4930,0.0576,0.2670,13.44,4.2554,18.03,191,3.4
5411,train,nan,0.6538,nan,nan,nan,0.0000,nan,0,2.1
5412,train,nan,0.4204,nan,nan,nan,0.0000,nan,0,3.0
5413,train,3.8399,2.9203,0.0361,0.1753,12.72,3.6093,18.25,194,1.3
5414,train,4.2370,3.3376,0.0258,0.0722,14.53,4.0554,24.19,194,1.9
5415,train,4.2480,2.4185,0.0103,0.0361,21.20,4.6545,21.54,194,2.5
5416,train,4.1196,3.2243,0.0207,0.0622,36.29,3.4564,52.00,193,1.6
5417,train,nan,0.3901,nan,nan,nan,0.0000,nan,0,1.4
5418,train,4.1011,3.1719,0.0670,0.2526,12.98,4.3835,12.00,194,2.5
5419,train,3.6934,2.8601,0.0104,0.0829,23.11,3.0864,6.00,193,5.7
5420,train,nan,0.4036,nan,nan,nan,0.0000,nan,0,2.4
5421,train,3.7268,3.0223,0.0258,0.0876,25.14,3.7099,35.36,194,1.9
5422,train,3.9176,3.2001,0.0104,0.1615,9.71,3.3603,0.00,192,1.8
5423,train,5.7442,3.4221,0.0363,0.0725,15.49,4.8499,20.62,193,4.1
5424,train,nan,0.3569,nan,nan,nan,0.0000,nan,0,1.5
5425,train,5.2620,3.7024,0.0206,0.0619,34.81,5.6333,55.90,194,2.2
5426,train,3.8672,3.0115,0.0312,0.1302,40.50,3.2037,72.25,192,2.9
5427,train,3.9946,3.7133,0.0155,0.0979,10.95,2.9593,6.00,194,2.3
5428,train,3.2229,3.2860,0.1031,0.4588,13.62,3.0496,18.00,194,5.2
5429,train,4.1725,3.5458,0.0417,0.1198,20.19,3.6462,43.68,192,3.3
5430,train,5.2043,3.9122,0.0000,0.0000,52.01,5.9098,36.50,194,6.3
5431,train,4.0532,4.2293,0.0000,0.0206,39.24,3.8963,49.48,194,5.7
5432,train,3.8535,3.0097,0.0206,0.0825,17.49,3.4958,16.00,194,3.8
5433,train,3.8369,3.3023,0.0155,0.0258,29.94,3.5415,35.36,194,2.0
5434,train,nan,0.3121,nan,nan,nan,0.0000,nan,0,4.7
5435,train,nan,0.2246,nan,nan,nan,0.0000,nan,0,3.7
5436,train,3.6779,3.3562,0.0000,0.0155,38.80,3.4304,40.00,193,1.9
5437,train,3.9311,2.5660,0.0259,0.1192,16.00,4.1278,8.49,193,6.5
5438,train,nan,0.3942,nan,nan,nan,0.0000,nan,0,5.5
5439,train,3.1006,2.1985,0.2021,0.5907,8.97,3.2189,8.49,193,5.6
5440,train,8.4548,3.7351,0.0000,0.0000,37.47,8.9610,37.95,194,5.4
5441,train,3.7512,3.8855,0.0000,0.0722,24.18,3.9295,20.00,194,4.4
5442,train,4.8858,3.4547,0.0000,0.0000,83.36,4.8708,78.23,194,4.5
5443,train,nan,0.4107,nan,nan,nan,0.0000,nan,0,3.2
5444,train,3.5804,2.8864,0.0361,0.2113,20.26,3.3806,30.00,194,6.4
5445,train,3.4847,2.6128,0.0309,0.1546,22.08,3.6302,43.68,194,5.6
5446,train,4.2951,3.6922,0.0619,0.1907,8.37,3.9311,3.00,194,2.3
5447,train,4.7062,2.9598,0.0052,0.0670,19.52,4.7232,30.59,194,3.8
5448,train,4.6726,2.4126,0.0258,0.0825,10.71,3.8646,15.00,194,2.4
5449,train,3.8454,2.6372,0.0570,0.2435,10.99,3.4850,12.65,193,3.0
5450,train,nan,0.6483,nan,nan,nan,0.0000,nan,0,1.5
5451,train,5.0587,3.3071,0.0000,0.0206,21.05,5.2430,23.32,194,3.6
5452,train,4.0047,2.7844,0.0309,0.1649,14.52,3.9923,15.00,194,2.7
5453,train,4.2769,2.7238,0.0308,0.1333,9.80,4.6134,3.00,195,2.6
5454,train,3.9056,2.2781,0.0103,0.0928,25.03,3.9971,18.97,194,5.9
5455,train,4.2847,2.8605,0.0052,0.0979,16.69,4.3356,16.49,194,2.6
5456,train,4.9188,3.0121,0.0156,0.0677,20.67,5.2506,20.12,192,1.1
5457,train,4.0211,3.3552,0.0000,0.0000,31.14,4.5340,24.00,194,1.9
5458,train,4.1575,2.7658,0.0259,0.1140,12.97,3.1557,6.00,193,1.9
5459,train,4.0247,3.4895,0.0104,0.0466,23.63,3.5038,28.28,193,2.9
5460,train,4.4750,3.0545,0.0311,0.1192,32.47,3.9897,0.00,193,4.2
5461,train,nan,0.4818,nan,nan,nan,0.0000,nan,0,4.1
5462,train,4.0024,3.2689,0.0361,0.2423,8.35,3.5807,6.71,194,1.8
5463,train,nan,0.4330,nan,nan,nan,0.0000,nan,0,6.6
5464,train,4.4363,3.6379,0.0104,0.0677,13.47,3.8906,12.37,192,1.7
5465,train,nan,0.2445,nan,nan,nan,0.0000,nan,0,2.8
5466,train,3.6777,2.5006,0.0104,0.0777,27.34,3.6188,40.31,193,1.5
5467,train,3.6395,2.6438,0.0208,0.1458,24.46,3.4381,30.59,192,3.9
5468,train,nan,0.3432,nan,nan,nan,0.0000,nan,0,0.9
5469,train,4.0488,3.3708,0.0876,0.2113,14.90,3.9810,13.42,194,6.4
5470,train,4.1010,3.7785,0.0155,0.1237,31.29,3.5234,8.49,194,6.0
5471,train,4.6145,3.4598,0.0000,0.0052,24.49,4.9681,25.50,194,4.3
5472,train,3.5412,2.8008,0.0361,0.3041,13.41,3.4893,11.18,194,2.2
5473,train,3.6776,3.0435,0.0155,0.0979,34.69,4.0354,30.59,194,5.1
5474,train,3.9071,3.1159,0.0259,0.1917,12.60,3.3936,12.00,193,1.2
5475,train,nan,0.3516,nan,nan,nan,0.0000,nan,0,3.7
5476,train,4.6942,4.0619,0.0052,0.0155,17.75,4.2361,18.97,194,1.3
5477,train,4.3610,3.2483,0.0000,0.0000,48.16,3.6595,54.33,194,5.3
5478,train,3.8494,3.8549,0.0000,0.0103,41.30,3.5642,36.40,194,2.9
5479,train,4.1787,4.0464,0.0207,0.0725,15.38,4.0158,24.74,193,0.9
5480,train,3.6686,3.2950,0.0773,0.3557,14.31,3.7403,11.18,194,4.2
5481,train,4.0813,4.3195,0.0155,0.0670,14.56,3.7593,28.28,194,1.9
5482,train,4.0758,3.5722,0.0000,0.0309,28.02,3.8344,15.81,194,3.7
5483,train,4.0756,4.1339,0.0104,0.0518,32.05,3.3196,36.00,193,3.1
5484,train,3.3091,3.7887,0.1399,0.4301,13.93,2.7518,12.00,193,2.7
5485,train,nan,0.2354,nan,nan,nan,0.0000,nan,0,3.2
5486,train,3.5880,3.9844,0.0979,0.2784,10.70,3.0533,4.00,194,2.2
5487,train,4.8708,3.6336,0.0052,0.0206,43.96,3.3603,61.19,194,6.2
5488,train,nan,0.1507,nan,nan,nan,0.0000,nan,0,2.3
5489,train,4.5003,3.8505,0.0000,0.0259,13.91,4.0576,4.24,193,2.0
5490,train,3.5372,3.7296,0.0670,0.2526,11.68,3.1379,20.40,194,3.1
5491,train,3.4674,3.9682,0.0928,0.4175,9.62,3.5464,16.49,194,1.5
5492,train,4.0056,3.6213,0.0103,0.0979,24.73,3.3921,36.50,194,6.3
5493,train,3.9109,4.3194,0.0103,0.0876,12.79,3.4146,12.00,194,1.6
5494,train,4.1466,4.4236,0.0000,0.0361,24.06,3.6224,35.36,194,2.3
5495,train,3.8101,4.1252,0.0000,0.0206,35.47,3.5427,15.00,194,3.1
5496,train,4.6574,4.2199,0.0052,0.0052,57.06,4.7426,66.27,194,3.7
5497,train,4.1948,4.1326,0.0103,0.0825,10.42,3.2447,4.24,194,2.0
5498,train,4.1210,4.3148,0.0412,0.1392,12.47,4.3495,4.24,194,2.6
5499,train,5.5053,4.5397,0.0000,0.0259,25.80,3.7692,21.21,193,1.8
5500,train,3.1417,3.7068,0.1088,0.4508,10.12,2.7184,10.00,193,2.1
5501,train,4.0312,4.0654,0.0052,0.0361,33.52,4.1253,50.00,194,2.5
5502,train,4.0862,4.8730,0.0155,0.1031,13.17,3.7216,6.71,194,1.7
5503,train,3.2035,3.8153,0.0933,0.3316,23.35,3.8013,18.97,193,5.5
5504,train,4.9663,4.0447,0.0000,0.0258,18.32,4.8343,17.89,194,2.7
5505,train,nan,0.1569,nan,nan,nan,0.0000,nan,0,5.4
5506,train,3.6722,5.0128,0.0773,0.3093,9.88,3.8730,16.00,194,1.7
5507,train,nan,0.1591,nan,nan,nan,0.0000,nan,0,2.1
5508,train,3.6864,5.2881,0.0570,0.2280,16.14,3.7188,36.22,193,2.4
5509,train,nan,0.1142,nan,nan,nan,0.0000,nan,0,1.4
5510,train,4.9595,4.9594,0.0000,0.0155,19.32,4.9407,23.32,193,3.3
5511,train,3.7268,4.2277,0.0469,0.1615,23.69,3.9091,25.50,192,3.0
5512,train,4.0349,4.2749,0.0466,0.1554,10.48,2.5274,4.00,193,3.2
5513,train,3.9914,4.6479,0.0052,0.0625,19.86,3.9899,7.07,192,2.1
5514,train,3.4395,5.4345,0.0773,0.3969,9.45,3.7552,12.65,194,1.5
5515,train,3.4863,3.9752,0.0619,0.2990,12.01,3.2214,8.00,194,2.1
5516,train,4.2612,4.5357,0.0052,0.0155,17.77,3.1697,6.00,194,2.8
5517,train,3.3377,4.1219,0.1295,0.4456,12.84,3.0467,10.00,193,1.9
5518,train,3.6624,5.2092,0.0729,0.3333,7.33,3.7302,9.00,192,1.3
5519,train,nan,0.0813,nan,nan,nan,0.0000,nan,0,1.6
5520,train,3.7242,4.9529,0.0104,0.1917,14.14,3.4179,20.00,193,4.4
5521,train,4.4187,4.1279,0.0052,0.0259,32.49,3.9202,40.31,193,1.9
5522,train,4.5262,5.4253,0.0052,0.0208,24.14,3.5503,21.00,192,2.0
5523,train,4.9519,5.8938,0.0155,0.0361,18.32,4.8619,18.03,194,3.6
5524,train,5.1222,4.9719,0.0155,0.0773,11.90,3.8670,6.71,194,1.9
5525,train,4.0529,5.3956,0.0464,0.1959,10.01,3.9855,9.49,194,1.6
5526,train,5.1726,4.0926,0.0000,0.0000,38.41,4.1620,50.00,193,2.6
5527,train,nan,0.1584,nan,nan,nan,0.0000,nan,0,2.8
5528,train,3.8902,5.0863,0.0000,0.0000,57.22,3.4332,54.33,193,4.5
5529,train,nan,0.2287,nan,nan,nan,0.0000,nan,0,2.2
5530,train,4.6170,4.7949,0.0000,0.0000,29.31,4.7403,36.40,195,3.5
5531,train,4.1981,5.0469,0.0309,0.1340,11.00,4.2978,9.49,194,1.8
5532,train,3.6446,4.1082,0.0464,0.2371,8.55,2.9046,3.00,194,1.2
5533,train,3.3676,3.2966,0.0464,0.2165,15.74,3.7171,12.65,194,2.6
5534,train,3.7165,4.4142,0.0361,0.2062,11.05,2.6733,8.00,194,2.7
5535,train,5.1501,3.7621,0.0000,0.0000,38.37,5.2213,30.00,193,5.9
5536,train,nan,0.1984,nan,nan,nan,0.0000,nan,0,2.6
5537,train,4.6919,3.0804,0.0000,0.0052,30.27,4.0941,30.00,194,5.9
5538,train,3.6164,4.8888,0.0777,0.3161,13.73,3.3415,24.33,193,2.7
5539,train,4.7964,4.7665,0.0104,0.0208,15.46,4.7734,11.31,192,1.8
5540,train,nan,0.3023,nan,nan,nan,0.0000,nan,0,6.4
5541,train,3.2155,2.9377,0.0000,0.0876,33.11,4.3014,30.00,194,5.3
5542,train,3.8133,3.8727,0.0312,0.1406,13.64,3.8038,8.94,192,2.9
5543,train,4.3660,4.4175,0.0052,0.1031,15.71,4.1492,15.81,194,4.3
5544,train,3.3210,4.0366,0.1186,0.4639,11.98,3.1955,12.00,194,3.4
5545,train,nan,0.1382,nan,nan,nan,0.0000,nan,0,4.9
5546,train,3.5086,3.6373,0.1289,0.4124,11.33,3.2968,20.00,194,1.9
5547,train,3.7091,3.7293,0.0052,0.0361,19.28,3.1814,12.00,194,3.1
5548,train,nan,0.2330,nan,nan,nan,0.0000,nan,0,2.0
5549,train,5.0803,3.7691,0.0052,0.0773,13.12,4.3617,10.82,194,1.3
5550,train,4.7406,4.1044,0.0052,0.0309,22.47,4.4490,12.00,194,1.8
5551,train,3.8979,4.5117,0.0417,0.1667,10.44,3.0867,12.00,192,2.1
5552,train,4.7026,4.4746,0.0000,0.0052,39.51,4.3233,60.00,194,3.3
5553,train,3.6365,4.1571,0.0104,0.1606,24.87,4.1080,50.99,193,3.2
5554,train,4.7401,4.6577,0.0000,0.0258,17.56,4.3579,34.21,194,1.8
5555,train,4.2335,4.7090,0.0103,0.0567,22.46,4.1080,18.97,194,5.9
5556,train,4.0871,3.6511,0.0000,0.0000,43.60,4.4375,50.00,193,4.1
5557,train,3.5638,3.6851,0.0361,0.2474,18.25,3.0582,25.50,194,2.5
5558,train,3.8369,3.4365,0.0619,0.3093,17.10,3.8906,24.00,194,2.5
5559,train,4.6972,5.1384,0.0000,0.0415,17.84,5.0394,25.30,193,2.4
5560,train,nan,0.2571,nan,nan,nan,0.0000,nan,0,3.8
5561,train,4.1474,4.6557,0.0052,0.0361,17.17,4.7475,24.19,194,0.9
5562,train,5.9190,4.7884,0.0000,0.0000,28.56,6.5302,33.54,194,2.0
5563,train,nan,0.1031,nan,nan,nan,0.0000,nan,0,3.6
5564,train,4.2257,4.3129,0.0365,0.1615,12.63,4.1858,8.94,192,1.5
5565,train,nan,0.1831,nan,nan,nan,0.0000,nan,0,3.2
5566,train,nan,0.1133,nan,nan,nan,0.0000,nan,0,5.1
5567,train,4.8474,4.2549,0.0103,0.0412,14.81,4.3324,15.30,194,1.8
5568,train,3.8041,3.6733,0.0103,0.0464,28.19,3.7509,49.48,194,5.5
5569,train,3.6399,3.2650,0.0311,0.3057,19.36,3.1016,18.97,193,2.9
5570,train,3.8239,3.8910,0.0000,0.0052,38.79,5.3109,46.10,194,4.0
