step,split,ce,cert,top1,top5,cell_err_m,n,sec
4670,train,4.2039,0.2661,0.0258,0.0710,19.73,155,0.9
4671,train,4.3062,0.3261,0.0068,0.0068,19.30,148,1.2
4672,train,3.4521,0.2699,0.0253,0.0949,18.36,158,3.5
4673,train,4.2626,0.3414,0.0000,0.0523,24.49,153,2.5
4674,train,3.5434,0.4303,0.0147,0.2647,12.87,136,0.9
4675,train,3.4233,0.2855,0.0750,0.3125,6.68,160,2.2
4676,train,3.4459,0.3357,0.0127,0.2278,10.05,158,3.1
4677,train,nan,1.9674,nan,nan,nan,0,1.1
4678,train,3.6823,0.2923,0.0063,0.1125,16.21,160,3.2
4679,train,4.8685,0.2871,0.0000,0.0000,34.12,155,0.6
4680,train,3.9779,0.2950,0.0000,0.0063,39.61,160,1.2
4681,train,3.8018,0.3405,0.1159,0.6014,7.46,138,3.3
4682,train,3.7062,0.2485,0.0779,0.2338,14.79,154,2.0
4683,train,3.8798,0.2810,0.0443,0.1203,18.24,158,3.1
4684,train,4.5147,0.5479,0.0000,0.0679,26.41,162,4.3
4685,train,3.9372,0.3528,0.0064,0.0321,17.77,156,3.4
4686,train,6.0576,0.3239,0.0000,0.0000,46.65,160,1.3
4687,train,5.3390,0.3351,0.0186,0.0497,19.96,161,0.5
4688,train,6.0006,0.3296,0.0000,0.0342,24.58,146,1.1
4689,train,4.3507,0.2708,0.0190,0.1519,10.82,158,1.3
4690,train,4.3633,0.3105,0.0260,0.0779,14.14,154,0.6
4691,train,3.2101,0.2603,0.0839,0.3484,8.86,155,3.6
4692,train,3.5419,0.2556,0.0191,0.2357,11.43,157,1.2
4693,train,4.8062,0.3230,0.0123,0.0864,16.10,162,2.3
4694,train,4.0466,0.2349,0.0245,0.1043,11.85,163,1.2
4695,train,3.6837,0.2286,0.0370,0.3519,10.42,162,4.7
4696,train,4.9866,0.3260,0.0000,0.0063,21.65,159,1.0
4697,train,3.0031,0.2825,0.1111,0.5988,9.81,162,1.2
4698,train,3.4081,0.2991,0.1818,0.4610,9.03,154,2.7
4699,train,nan,1.6953,nan,nan,nan,0,0.8
4700,train,3.3632,0.2455,0.1813,0.5063,5.26,160,2.1
4701,train,4.6037,0.2732,0.0186,0.0870,13.99,161,0.9
4702,train,3.1952,0.3081,0.2245,0.7619,4.70,147,1.5
4703,train,nan,1.5784,nan,nan,nan,0,1.8
4704,train,5.1919,0.3390,0.0000,0.0375,18.84,160,0.5
4705,train,nan,2.3003,nan,nan,nan,0,2.6
4706,train,4.3964,0.2968,0.0000,0.0063,37.25,160,1.4
4707,train,3.5629,0.2666,0.0184,0.2515,10.97,163,1.9
4708,train,4.6842,0.3345,0.0000,0.0000,20.80,145,0.8
4709,train,3.5830,0.3020,0.0588,0.2353,14.79,153,2.6
4710,train,4.6209,0.3996,0.0124,0.0807,12.50,161,1.3
4711,train,4.1109,0.2431,0.0185,0.1728,10.72,162,4.7
4712,train,4.6667,0.2530,0.0252,0.1069,20.53,159,0.6
4713,train,4.5592,0.4752,0.0124,0.1491,14.27,161,1.1
4714,train,4.3873,0.3540,0.0064,0.0385,14.89,156,0.8
4715,train,nan,1.2975,nan,nan,nan,0,1.1
4716,train,3.4069,0.2714,0.0432,0.3086,10.58,162,2.9
4717,train,3.8088,0.2613,0.0000,0.1720,13.71,157,4.5
4718,train,3.9929,0.3808,0.0190,0.1203,13.06,158,4.5
4719,train,4.0372,0.3151,0.0063,0.0063,14.19,158,1.6
4720,train,3.6824,0.3187,0.0437,0.2438,10.58,160,1.5
4721,train,4.7398,0.2900,0.0000,0.0000,38.82,160,0.6
4722,train,3.9375,0.3234,0.0000,0.0278,20.80,144,3.5
4723,train,nan,1.2420,nan,nan,nan,0,4.6
4724,train,5.1161,0.3018,0.0000,0.0065,30.68,153,1.2
4725,train,4.0289,0.2972,0.0000,0.0000,36.69,156,1.1
4726,train,5.1656,0.5146,0.0000,0.0000,31.81,159,4.4
4727,train,nan,1.3580,nan,nan,nan,0,0.6
4728,train,4.5815,0.4185,0.0066,0.0132,16.38,151,1.4
4729,train,5.5917,0.2585,0.0000,0.0126,28.61,159,0.5
4730,train,4.3145,0.3130,0.0312,0.1187,16.42,160,1.2
4731,train,3.8233,0.3051,0.0373,0.2174,9.34,161,4.4
4732,train,3.5702,0.2835,0.0329,0.2697,10.49,152,0.9
4733,train,3.8020,0.3755,0.0127,0.0759,14.31,158,1.7
4734,train,4.4810,0.3300,0.0000,0.0000,33.60,158,1.8
4735,train,4.1366,0.3277,0.0000,0.0645,19.85,155,1.9
4736,train,3.6516,0.5599,0.0126,0.1950,15.05,159,4.5
4737,train,3.5813,0.3115,0.0994,0.2547,12.99,161,1.2
4738,train,3.1466,0.3097,0.1946,0.6846,7.61,149,2.3
4739,train,5.2619,0.4620,0.0063,0.0127,21.38,158,0.5
4740,train,3.3720,0.3093,0.0745,0.2857,16.56,161,0.8
4741,train,nan,1.2551,nan,nan,nan,0,0.6
4742,train,3.8635,0.3107,0.0581,0.2323,11.54,155,1.2
4743,train,3.8099,0.2598,0.0000,0.0062,28.11,162,0.8
4744,train,3.8333,0.2827,0.0267,0.1933,9.48,150,4.0
4745,train,4.5837,0.2503,0.0126,0.1195,21.98,159,2.0
4746,train,4.7200,0.3096,0.0331,0.1060,18.36,151,1.2
4747,train,4.1565,0.3613,0.0314,0.0818,17.50,159,0.6
4748,train,3.6901,0.3390,0.0207,0.0828,25.66,145,1.6
4749,train,nan,1.7311,nan,nan,nan,0,1.1
4750,train,4.0004,0.3484,0.0000,0.0134,23.72,149,1.7
4751,train,4.5620,0.3178,0.0000,0.0139,15.64,144,1.8
4752,train,3.6736,0.2467,0.0373,0.3043,12.20,161,3.5
4753,train,nan,1.3934,nan,nan,nan,0,3.5
4754,train,3.8657,0.3756,0.0127,0.0892,13.00,157,1.6
4755,train,3.5293,0.3081,0.1429,0.2922,15.80,154,1.7
4756,train,nan,1.3809,nan,nan,nan,0,4.5
4757,train,nan,1.2755,nan,nan,nan,0,3.5
4758,train,4.3100,0.2980,0.0000,0.0130,27.10,154,3.3
4759,train,4.2161,0.3181,0.0000,0.0000,32.55,149,1.6
4760,train,3.6491,0.3527,0.1391,0.5364,6.95,151,2.4
4761,train,5.6789,0.2945,0.0000,0.0000,23.31,158,0.9
4762,train,4.0841,0.2919,0.0000,0.0000,19.82,159,3.6
4763,train,3.5754,0.3071,0.0316,0.1899,16.37,158,1.6
4764,train,3.8042,0.3355,0.0580,0.1667,14.11,138,1.6
4765,train,nan,1.4843,nan,nan,nan,0,0.6
4766,train,nan,1.3515,nan,nan,nan,0,4.9
4767,train,4.1880,0.3551,0.0613,0.1718,11.80,163,1.0
4768,train,3.4505,0.2778,0.0000,0.0311,23.73,161,1.6
4769,train,3.4328,0.3077,0.0128,0.1923,11.96,156,1.7
4770,train,3.4565,0.2548,0.0625,0.2250,15.20,160,2.1
4771,train,3.9556,0.2800,0.1220,0.3293,10.39,164,1.8
4772,train,4.1184,0.5014,0.0000,0.0065,22.45,153,4.1
4773,train,3.8123,0.3459,0.0065,0.0779,14.24,154,1.2
4774,train,3.6589,0.2867,0.0377,0.1635,11.02,159,3.5
4775,train,nan,1.9611,nan,nan,nan,0,1.9
4776,train,4.2920,0.4444,0.0063,0.0314,14.83,159,2.6
4777,train,4.4168,0.3343,0.0000,0.0000,20.44,158,1.9
4778,train,3.4229,0.3915,0.1132,0.4214,11.61,159,1.6
4779,train,5.5479,0.3014,0.0000,0.0000,25.97,156,1.4
4780,train,3.1859,0.2629,0.0741,0.4938,7.59,162,1.2
4781,train,4.7070,0.3715,0.0000,0.0000,23.64,161,1.9
4782,train,4.3684,0.3002,0.0062,0.1543,13.04,162,0.5
4783,train,nan,1.2522,nan,nan,nan,0,0.8
4784,train,3.4148,0.2219,0.0000,0.0807,18.08,161,2.1
4785,train,3.8802,0.2810,0.0194,0.1484,13.35,155,1.2
4786,train,4.7735,0.4312,0.0131,0.0654,16.10,153,1.1
4787,train,nan,1.8796,nan,nan,nan,0,1.8
4788,train,5.2063,0.3369,0.0000,0.0000,38.97,156,1.2
4789,train,4.0315,0.2992,0.0062,0.0370,17.27,162,1.2
4790,train,3.7122,0.3212,0.0062,0.0807,13.41,161,1.7
4791,train,5.5441,0.2861,0.0000,0.0000,24.40,148,2.4
4792,train,5.6394,0.2583,0.0000,0.0000,14.09,160,1.2
4793,train,nan,1.9172,nan,nan,nan,0,1.2
4794,train,4.3668,0.4859,0.0062,0.0432,14.25,162,0.8
4795,train,3.7801,0.4360,0.0127,0.0892,37.48,157,1.2
4796,train,4.1774,0.3952,0.0312,0.0688,12.92,160,1.2
4797,train,3.7922,0.2337,0.0380,0.1266,16.25,158,4.5
4798,train,3.3801,0.3595,0.1030,0.4788,10.11,165,2.2
4799,train,3.7057,0.3167,0.0133,0.2067,13.33,150,0.7
4800,train,5.0637,0.4204,0.0000,0.0063,21.64,160,0.6
4800,val,4.2001,,0.0236,0.1166,17.74,6938,35.8
4801,train,3.4146,0.2550,0.1037,0.3659,7.12,164,3.3
4802,train,4.8312,0.3861,0.0000,0.0063,24.50,159,3.2
4803,train,4.6456,0.2865,0.0000,0.0813,12.22,160,1.8
4804,train,3.6039,0.2430,0.0437,0.2062,15.46,160,3.2
4805,train,4.0325,0.2557,0.0196,0.1307,13.75,153,1.1
4806,train,4.1261,0.3142,0.0123,0.0675,13.20,163,1.3
