step,ce,cert,top1,top5,cell_err_m,n,sec
151,4.7462,0.4710,0.0127,0.0892,15.10,157,0.7
152,4.7494,0.4744,0.0316,0.1076,12.60,158,0.6
153,4.8052,0.5027,0.0065,0.0714,18.76,154,0.6
154,4.8947,0.4861,0.0000,0.0318,19.52,157,0.6
155,4.7995,0.4536,0.0000,0.0443,18.60,158,0.6
156,4.7617,0.5301,0.0185,0.0802,22.07,162,0.7
157,4.8418,0.4819,0.0253,0.1013,15.71,158,0.6
158,4.7769,0.4755,0.0318,0.1019,18.87,157,0.6
159,4.7434,0.4413,0.0062,0.0556,24.11,162,0.6
160,4.8146,0.4882,0.0195,0.0714,19.53,154,0.7
161,4.8427,0.4815,0.0065,0.0325,17.61,154,0.6
162,4.6107,0.4774,0.0316,0.1646,12.66,158,0.6
163,4.6701,0.4575,0.0123,0.0617,16.94,162,0.7
164,4.6987,0.4879,0.0255,0.1465,14.38,157,0.7
165,4.5805,0.4600,0.0253,0.1076,11.99,158,0.6
166,4.8373,0.4795,0.0065,0.0584,17.60,154,0.6
167,4.7115,0.5450,0.0062,0.0123,23.45,162,0.7
168,4.9530,0.4511,0.0064,0.0191,22.00,157,0.6
169,4.4585,0.5220,0.0432,0.1852,11.71,162,0.7
170,4.8535,0.4821,0.0065,0.0195,17.89,154,0.6
171,4.7624,0.4837,0.0000,0.0127,18.83,157,0.6
172,5.0038,0.4159,0.0000,0.0190,22.61,158,0.6
173,4.3975,0.4442,0.0573,0.1656,14.46,157,0.7
174,4.2916,0.4358,0.0370,0.2222,12.22,162,0.6
175,4.9963,0.4612,0.0065,0.0260,19.95,154,0.6
176,4.4457,0.4525,0.0190,0.1203,13.46,158,0.6
177,4.4021,0.4592,0.0191,0.1656,12.93,157,0.6
178,4.6397,0.4603,0.0316,0.0823,18.54,158,0.6
179,4.1759,0.3751,0.0370,0.2407,11.99,162,0.7
180,4.5824,0.4448,0.0195,0.0714,18.45,154,0.6
181,4.5400,0.4510,0.0130,0.0390,25.78,154,0.6
182,4.2978,0.3280,0.0185,0.1420,13.89,162,0.7
183,4.0177,0.4777,0.0316,0.1962,10.62,158,0.6
184,4.3330,0.4035,0.0191,0.1019,13.03,157,0.6
185,4.2511,0.4242,0.0255,0.1783,12.11,157,0.7
186,4.3212,0.4103,0.0260,0.1039,13.88,154,0.7
187,4.0745,0.4106,0.0253,0.2215,11.90,158,0.6
188,5.0544,0.4263,0.0000,0.0000,46.35,162,0.6
189,4.2378,0.4101,0.0370,0.1235,12.10,162,0.7
190,4.6278,0.4455,0.0130,0.0649,17.84,154,0.6
191,4.0982,0.4998,0.0446,0.1401,11.50,157,0.6
192,4.1413,0.4532,0.0380,0.2215,12.18,158,0.6
193,4.0397,0.4008,0.0828,0.2675,10.99,157,0.6
194,4.5976,0.4526,0.0195,0.0779,16.15,154,0.6
195,4.1096,0.3862,0.0247,0.1605,11.16,162,0.6
196,3.5544,0.3791,0.0633,0.3038,9.62,158,0.6
197,3.8898,0.4018,0.0573,0.3439,9.79,157,0.6
198,3.6073,0.3769,0.0556,0.3457,10.03,162,0.7
199,3.8992,0.4439,0.0506,0.2342,12.58,158,0.6
200,4.1953,0.3872,0.0195,0.1623,15.12,154,0.6
